Domain I Vapp
AA -3.1295606293969545e-14 -0.04
AA -2.3063207820756383e-14 -0.02
AB -2.9904736622775673e-14 -0.02
AA -3.9418239808642166e-14 -0.06
AB -4.075788334484397e-14 -0.06
AB -3.2782587195038275e-14 -0.04
AB -4.7477893144404874e-14 -0.08
AA -5.532979224366618e-14 -0.12
AA -4.6074832743050705e-14 -0.08
AA -5.816987837716877e-14 -0.14
AB -5.636562066653306e-14 -0.12
AB -5.905962506570484e-14 -0.14
AB -6.094544861344782e-14 -0.16
AA -6.197930036204186e-14 -0.18
AA -6.043985658599387e-14 -0.16
AA -5.095093819726581e-14 -0.1
AB -5.293017527248423e-14 -0.1
AB -6.23247704413177e-14 -0.18
AA -6.433813689343569e-14 -0.24
AB -6.394825177985721e-14 -0.22
AA -6.354715459712927e-14 -0.22
AA -6.461272492927469e-14 -0.26
AB -6.46817197130378e-14 -0.26
AB -6.436515490442203e-14 -0.24
AB -6.496401006799617e-14 -0.28
AA -6.484324536060956e-14 -0.28
AA -6.294702775719983e-14 -0.2
AB -6.502862297253235e-14 -0.32
AA -6.53496951497211e-14 -0.32
AB -6.290345462012176e-14 -0.2
AB -6.508433306799638e-14 -0.34
AA -6.524213069464923e-14 -0.34
AA -6.55046171365179e-14 -0.36
AA -6.561229312567542e-14 -0.38
AB -6.526770771137001e-14 -0.38
AB -6.549707106196539e-14 -0.36
AB -6.500226362921755e-14 -0.3
AA -6.517575059989693e-14 -0.3
AA -6.571208361646663e-14 -0.42
AB -6.566083334591331e-14 -0.42
AB -6.56863886827635e-14 -0.44
AA -6.601088511454761e-14 -0.44
AA -6.57545516558074e-14 -0.46
AB -6.575685440624443e-14 -0.46
AA -6.570421618595843e-14 -0.48
AB -6.568503616875942e-14 -0.48
AA -6.511427038839716e-14 -0.4
AB -6.569115006701194e-14 -0.4
AA -6.575917388372925e-14 -0.5
AA -1.2977711961611129e-14 0.02
AB -6.566573416954996e-14 -0.5
AB -7.740656575691285e-15 0.04
AB -1.3873191942558583e-14 0.02
AA -8.26888478308706e-15 0.04
AA -4.60198358421005e-15 0.06
AA -2.9164074310303317e-15 0.08
AB -4.4184895496062525e-15 0.06
AB -2.408554116906296e-14 0.0
AA -2.0396839118333286e-14 0.0
AB -3.3307029725668853e-15 0.08
AA -4.2259021796621915e-16 0.14
AA -3.5881860846597076e-16 0.12
AB -8.487918358304755e-16 0.12
AA -2.019400561364245e-16 0.16
AB -4.3908706369600226e-16 0.14
AB -2.404273403695015e-16 0.16
AA -1.1033921489505774e-16 0.18
AB -4.693746559729621e-17 0.18
AA -1.7665118541361589e-15 0.1
AB -1.6107904715002928e-15 0.1
AA -1.538272317591344e-17 0.22
AB -2.0993710417703406e-17 0.22
AA -9.157803279817208e-18 0.26
AB -1.2554266516838028e-17 0.24
AA -1.2736686024188307e-17 0.24
AB -7.005536216866534e-18 0.28
AB 9.116442907478208e-19 0.26
AA -6.540145160319674e-18 0.28
AA -4.8854721870347694e-17 0.2
AB -2.5974515782738217e-17 0.2
AA -5.538253916631879e-18 0.3
