Domain I Vapp
AA -1.9269594054664837e-13 0.02
AA -4.164928792350023e-13 -0.02
AB -4.220000539346392e-13 -0.02
AB -1.9543530495510041e-13 0.02
AA -5.065205463578991e-13 -0.04
AA -1.0874819797697204e-13 0.04
AB -1.0943709924146241e-13 0.04
AA -5.655739760493536e-13 -0.06
AB -5.111886967909109e-13 -0.04
AB -5.705516360531743e-13 -0.06
AB -1.3150751632432433e-13 0.06
AA -1.1322607882292184e-13 0.06
AB -6.033676443557074e-13 -0.08
AA -6.009601799789563e-13 -0.08
AA -3.3647264618953646e-14 0.08
AA -3.038126222252978e-13 0.0
AB -6.466415161880968e-14 0.08
AB -3.074405063713396e-13 0.0
AA -9.223382367620514e-15 0.12
AB -6.357640473651791e-13 -0.12
AA -6.350500455769782e-13 -0.12
AB -1.412566277277503e-14 0.12
AA -6.42588620295918e-13 -0.14
AA -6.225483707939312e-15 0.14
AB -7.724066769989089e-15 0.14
AB -6.429021391853553e-13 -0.14
AA -6.47097199825929e-13 -0.16
AB -3.4807745656731282e-15 0.16
AB -6.476733800730089e-13 -0.16
AA 4.491337185277562e-16 0.16
AA -6.513404956895802e-13 -0.18
AB -6.50511980371433e-13 -0.18
AA -1.260967993828031e-15 0.18
AB -1.4340252545869043e-15 0.18
AA -2.478495087166132e-14 0.1
AA -6.216257357160184e-13 -0.1
AB -3.193287494044939e-14 0.1
AA -6.547041578997856e-13 -0.22
AB -6.237668209258908e-13 -0.1
AB 1.2274298855990964e-17 0.22
AB -6.547586818135422e-13 -0.22
AA -2.08137767942737e-16 0.22
AA -1.7241412865167692e-16 0.24
AA -6.560115758220504e-13 -0.24
AB -6.561105098056466e-13 -0.24
AA -6.566316908315302e-13 -0.26
AB -1.442191588782018e-16 0.24
AA -5.772424491381357e-17 0.26
AB -7.781196093087536e-17 0.26
AB -6.565261305178278e-13 -0.26
AA -6.581239515803469e-13 -0.28
AB -6.578591257114671e-13 -0.28
AB -6.217745705953955e-17 0.28
AA -3.440668556547851e-17 0.28
AA -1.4287180470423205e-16 0.2
AA -6.54654425095233e-13 -0.2
AB -6.525111892924771e-13 -0.2
AA -6.591818273458961e-13 -0.32
AB -6.579002136971439e-13 -0.32
AB 2.2469974891998087e-16 0.2
AA -6.592894013097483e-13 -0.34
AB -6.581743121552991e-13 -0.34
AA -6.588697294887481e-13 -0.36
AB -6.585284370749274e-13 -0.36
AB -6.581470277345459e-13 -0.38
AA -6.58783375556513e-13 -0.38
AA -4.818938821402178e-17 0.3
AA -6.577579083689251e-13 -0.3
AB -6.564381774279401e-13 -0.3
AA -6.591313478876708e-13 -0.42
AB -6.583473876686524e-13 -0.42
AB -4.753511188767354e-17 0.3
AA -6.587279069871762e-13 -0.44
AB -6.569999326067913e-13 -0.44
AA -6.591481238850337e-13 -0.46
AB -6.585181344853635e-13 -0.48
AA -6.58566443985493e-13 -0.48
AB -6.591735262214163e-13 -0.46
AA -6.587540659279454e-13 -0.4
AB -6.583079504179633e-13 -0.4
AA -6.57347269218945e-13 -0.5
AB -6.588861270475265e-13 -0.5
