I Vapp Center(x) Center(y)
-1.4618898121052806e-14 -0.1 0.0 0.0
-1.4380113600526646e-14 -0.1 2.042777266881516 -1.1793980049284913
-1.461720756602284e-14 -0.1 4.085554533763032 -2.3587960098569827
-1.473020873248835e-14 -0.1 6.128331800644549 -3.5381940147854745
-1.4843964532760168e-14 -0.1 8.171109067526064 -4.717592019713965
-1.5001772388154814e-14 -0.1 10.213886334407581 -5.896990024642457
-1.4782762190470392e-14 -0.1 12.256663601289098 -7.076388029570949
-1.5172870818233523e-14 -0.1 14.299440868170613 -8.25578603449944
-1.531769089238559e-14 -0.1 16.34221813505213 -9.43518403942793
-1.545203497090218e-14 -0.1 18.384995401933644 -10.614582044356423
-1.5546384360017738e-14 -0.1 20.427772668815162 -11.793980049284913
-1.5651499353965687e-14 -0.1 22.470549935696674 -12.973378054213404
-1.5745078010004894e-14 -0.1 24.513327202578196 -14.152776059141898
-1.554457239031538e-14 -0.1 26.55610446945971 -15.332174064070388
-1.589824827121987e-14 -0.1 28.598881736341227 -16.51157206899888
-1.5839344640976364e-14 -0.1 30.641659003222742 -17.69097007392737
-1.5839344640976364e-14 -0.1 32.68443627010426 -18.87036807885586
-1.5839344640976364e-14 -0.1 34.72721353698577 -20.049766083784352
-1.5484323532701754e-14 -0.1 36.76999080386729 -21.229164088712846
-1.5644053182209883e-14 -0.1 38.8127680707488 -22.408562093641336
-1.565463733919289e-14 -0.1 40.855545337630325 -23.587960098569827
-1.5500149870300105e-14 -0.1 42.89832260451183 -24.767358103498317
-1.538828401088061e-14 -0.1 44.94109987139335 -25.946756108426808
-1.5247453442424276e-14 -0.1 46.98387713827488 -27.126154113355305
-1.5050609171824615e-14 -0.1 49.02665440515639 -28.305552118283796
-1.5050609171824615e-14 -0.1 51.0694316720379 -29.484950123212286
-1.4770230659352363e-14 -0.1 53.11220893891942 -30.664348128140777
-1.4770230659352363e-14 -0.1 55.15498620580094 -31.843746133069267
-1.455867264801488e-14 -0.1 57.19776347268245 -33.02314413799776
-1.4597618134382788e-14 -0.1 59.24054073956397 -34.20254214292625
-1.4597618134382788e-14 -0.1 2.042777266881516 1.1793980049284913
-1.4672374331104994e-14 -0.1 4.085554533763032 0.0
-1.4703357890315096e-14 -0.1 6.128331800644549 -1.1793980049284913
-1.4548970494212526e-14 -0.1 8.171109067526064 -2.358796009856983
-1.4706185200353713e-14 -0.1 10.213886334407581 -3.5381940147854745
-1.4982300931428646e-14 -0.1 12.256663601289098 -4.717592019713965
-1.5049049979909117e-14 -0.1 14.299440868170615 -5.896990024642458
-1.5172205688147684e-14 -0.1 16.34221813505213 -7.076388029570949
-1.5200396128996926e-14 -0.1 18.384995401933644 -8.25578603449944
-1.517192678122471e-14 -0.1 20.427772668815162 -9.43518403942793
-1.517192678122471e-14 -0.1 22.470549935696678 -10.614582044356423
-1.5571118773067826e-14 -0.1 24.513327202578193 -11.793980049284913
-1.5807086898818572e-14 -0.1 26.55610446945971 -12.973378054213406
-1.5884541296817843e-14 -0.1 28.59888173634123 -14.152776059141898
-1.5878944646045087e-14 -0.1 30.641659003222742 -15.332174064070388
-1.5929239834453837e-14 -0.1 32.68443627010426 -16.51157206899888
-1.5932687810008452e-14 -0.1 34.72721353698578 -17.69097007392737
-1.5932687810008452e-14 -0.1 36.76999080386729 -18.87036807885586
-1.572713778902955e-14 -0.1 38.8127680707488 -20.049766083784352
-1.572713778902955e-14 -0.1 40.85554533763032 -21.229164088712846
-1.549133719350574e-14 -0.1 42.89832260451183 -22.408562093641336
-1.524517770912048e-14 -0.1 44.94109987139335 -23.587960098569827
-1.524517770912048e-14 -0.1 46.98387713827486 -24.767358103498317
-1.524517770912048e-14 -0.1 49.02665440515639 -25.94675610842681
-1.502075158434862e-14 -0.1 51.0694316720379 -27.126154113355305
-1.495105160117805e-14 -0.1 53.112208938919416 -28.305552118283796
-1.472476231759419e-14 -0.1 55.15498620580094 -29.484950123212286
-1.472476231759419e-14 -0.1 57.19776347268245 -30.664348128140777
-1.458520017143624e-14 -0.1 59.24054073956396 -31.843746133069267
-1.458520017143624e-14 -0.1 61.283318006445484 -33.02314413799776
-1.4521522785200087e-14 -0.1 4.085554533763032 2.3587960098569827
-1.4424743543393075e-14 -0.1 6.128331800644549 1.1793980049284913
-1.4829536730975535e-14 -0.1 8.171109067526064 0.0
-1.483182472445881e-14 -0.1 10.213886334407581 -1.1793980049284916
-1.5029203702945368e-14 -0.1 12.256663601289098 -2.3587960098569827
-1.5070168785632574e-14 -0.1 14.299440868170613 -3.538194014785474
-1.5147779485822083e-14 -0.1 16.34221813505213 -4.717592019713966
-1.5351883200505777e-14 -0.1 18.384995401933644 -5.896990024642458
-1.5259932279562074e-14 -0.1 20.427772668815162 -7.076388029570949
-1.5268612136514088e-14 -0.1 22.470549935696678 -8.25578603449944
-1.5268612136514088e-14 -0.1 24.513327202578196 -9.43518403942793
-1.5862168550912788e-14 -0.1 26.556104469459708 -10.614582044356423
-1.574203023016848e-14 -0.1 28.59888173634123 -11.793980049284915
-1.5972877180990617e-14 -0.1 30.641659003222745 -12.973378054213406
-1.5715018216873567e-14 -0.1 32.68443627010426 -14.152776059141898
-1.6001290114000037e-14 -0.1 34.72721353698578 -15.332174064070388
-1.5662672170306456e-14 -0.1 36.76999080386729 -16.51157206899888
-1.5826094893480664e-14 -0.1 38.8127680707488 -17.69097007392737
-1.562593162562683e-14 -0.1 40.855545337630325 -18.87036807885586
-1.5630707278548105e-14 -0.1 42.89832260451183 -20.049766083784352
