Domain I Vapp
AA -4.3212771774145594e-13 -0.02
AB -4.321791975712337e-13 -0.02
AA -2.000898521489755e-13 0.02
AB -1.9969736639120678e-13 0.02
AA -5.242536418168323e-13 -0.04
AA -1.1209056015926909e-13 0.04
AB -5.234888035103022e-13 -0.04
AA -5.832230971804306e-13 -0.06
AB -1.1197243110403564e-13 0.04
AB -5.71986160388562e-14 0.06
AA -5.74965049414125e-14 0.06
AB -5.812894602632649e-13 -0.06
AA -6.179296201307933e-13 -0.08
AB -6.145809690430758e-13 -0.08
AA -4.3798940090201747e-14 0.08
AB -5.096800328879364e-14 0.08
AB -3.149932051173115e-13 0.0
AA -3.1564989591632025e-13 0.0
AA -6.443482905927083e-13 -0.12
AB -6.412493475320489e-13 -0.12
AA -9.468580790535578e-15 0.12
AB -1.2118512836633516e-14 0.12
AA -6.496307647638205e-13 -0.14
AA -6.1643330466238165e-15 0.14
AB -6.463425745851062e-13 -0.14
AA -6.523484405326746e-13 -0.16
AB -4.589572286346519e-15 0.14
AB -2.8234506891496983e-15 0.16
AA -2.9886869460196838e-15 0.16
AB -6.489903777402069e-13 -0.16
AA -5.155697793370779e-16 0.18
AB -6.519064047594979e-13 -0.18
AA -6.550084173725641e-13 -0.18
AA -2.8369063311970615e-14 0.1
AA -6.343364824842031e-13 -0.1
AB -1.3549288065714491e-15 0.18
AB -6.318422443596351e-13 -0.1
AB -2.6759570898011022e-14 0.1
AA -6.571684848793894e-13 -0.22
AA 4.8729561010309875e-17 0.22
AB -3.2919491298750197e-16 0.22
AB -6.545856749038051e-13 -0.22
AA -8.510200409250372e-17 0.24
AB -6.546701440233872e-13 -0.24
AA -6.577867744363658e-13 -0.24
AA -6.583479842706023e-13 -0.26
AB -1.379506851329339e-16 0.24
AA -3.8483837822776076e-17 0.26
AA -6.583553689436652e-13 -0.28
AB -6.562145995000446e-13 -0.26
AB -7.911270396387524e-17 0.26
AB -5.779610461992835e-17 0.28
AA -8.032231031620177e-17 0.28
AB -6.560905261394605e-13 -0.28
AA -2.864914478556568e-16 0.2
AA -6.561520257611878e-13 -0.2
AB -6.51678777826999e-13 -0.2
AB -2.0549065311703851e-16 0.2
AB -6.567721526231303e-13 -0.32
AA -6.585655414106328e-13 -0.32
AA -6.58827760329747e-13 -0.34
AA -6.59855988202486e-13 -0.36
AB -6.575289519340828e-13 -0.34
AB -6.586652577664547e-13 -0.36
AB -6.584846729985075e-13 -0.38
AA -6.581947884607781e-13 -0.38
AA -6.584977158182582e-13 -0.3
AA 1.443721664440084e-17 0.3
AB -6.571505949720845e-13 -0.3
AB -3.7918111064181536e-17 0.3
AA -6.587302897504966e-13 -0.42
AB -6.585979989859029e-13 -0.42
AA -6.572970498829128e-13 -0.44
AA -6.588576300265113e-13 -0.46
AB -6.585854219523005e-13 -0.44
AB -6.588466275934806e-13 -0.48
AA -6.585259071848699e-13 -0.48
AB -6.589529499526877e-13 -0.46
AB -6.586374951823069e-13 -0.4
AA -6.585301994319343e-13 -0.5
AA -6.587127150874008e-13 -0.4
AB -6.579086390457418e-13 -0.5
