Domain I Vapp
AA -9.993976992368349e-14 -0.04
AA -8.176800530420844e-14 -0.02
AB -3.3861596788768624e-14 -0.02
AB -4.6534952904355395e-14 -0.04
AA -1.1230690077803042e-13 -0.06
AB -6.022589330507061e-14 -0.06
AA -1.1969052580405552e-13 -0.08
AA -1.2676870589278117e-13 -0.12
AB -8.02669871852395e-14 -0.08
AB -9.677899983460072e-14 -0.12
AA -1.2806783675258167e-13 -0.14
AB -1.0521449621968169e-13 -0.14
AA -1.2889460293209814e-13 -0.16
AA -1.2957901829474683e-13 -0.18
AB -1.1190363731006111e-13 -0.16
AB -1.1675978328924308e-13 -0.18
AA -1.241711635492384e-13 -0.1
AB -8.65634830291505e-14 -0.1
AB -1.2327866661941536e-13 -0.22
AA -1.305860488766951e-13 -0.24
AA -1.3016971104222685e-13 -0.22
AB -1.252218227335216e-13 -0.24
AB -1.2695272653753106e-13 -0.26
AA -1.3071573008038157e-13 -0.26
AA -1.3039931293406016e-13 -0.28
AB -1.2803076658825048e-13 -0.28
AA -1.299545066944939e-13 -0.2
AB -1.2968176058455898e-13 -0.32
AA -1.3113027288935206e-13 -0.32
AB -1.1987088604962554e-13 -0.2
AA -1.3128507753164829e-13 -0.36
AA -1.3104875400434001e-13 -0.34
AB -1.300829001482126e-13 -0.34
AA -1.3131887902842166e-13 -0.38
AB -1.3048004967374712e-13 -0.36
AB -1.3068446325700338e-13 -0.38
AB -1.2858542774104163e-13 -0.3
AA -1.310894434077878e-13 -0.3
AA -1.309246044544702e-13 -0.42
AB -1.3116916241126775e-13 -0.42
AA -1.3173006108270836e-13 -0.44
AB -1.3107526598349215e-13 -0.44
AB -1.312196238639328e-13 -0.46
AA -1.314911000999267e-13 -0.46
AA -1.3123335031801677e-13 -0.48
AB -1.3063752189914737e-13 -0.4
AA -1.3137915018184247e-13 -0.4
AB -1.3100199147349017e-13 -0.48
AA -3.753015911780299e-14 0.02
AB -1.3138025885309797e-13 -0.5
AA -1.3199256153119012e-13 -0.5
AB -1.1547238493985769e-14 0.04
AA -3.641759619238177e-14 0.04
AB -1.8423535212921964e-14 0.02
AA -9.682536925824186e-15 0.08
AB -6.192270203982053e-15 0.06
AA -1.7463620009893162e-14 0.06
AA -6.8681063629805e-14 0.0
AB -3.1019455401801765e-15 0.08
AB -2.8173780439673843e-14 0.0
AB -1.057669842570951e-15 0.12
AA -2.0862192531845786e-15 0.12
AA -6.534203112996311e-16 0.14
AB -5.528970194919131e-16 0.14
AB -4.875927765933101e-16 0.16
AA -4.026260955816538e-16 0.16
AB -2.6070824930693306e-16 0.18
AA -2.4287709371766656e-16 0.18
AA -3.1576844057111736e-15 0.1
AB -2.4566913071737763e-15 0.1
AA -3.629196470879173e-17 0.22
AB -4.865623891638759e-17 0.22
AB -3.385140357700266e-17 0.24
AA -1.8687346967110134e-17 0.24
AA -1.525438252835066e-17 0.26
AB 1.48703619876346e-18 0.26
AB -1.3176766066556136e-17 0.28
AA -9.310077899282467e-19 0.28
AB -5.7412400728809066e-18 0.2
AA -6.593171381868006e-17 0.2
AA -1.1320757026581037e-17 0.3
