idx I Vapp Center(x) Center(y)
0 -2.6483562580668816e-13 -0.5 0.0 0.0
1 -2.647631536341092e-13 -0.5 0.5552234412021141 -0.32055840323843093
2 -2.6418032201134185e-13 -0.5 1.1104468824042282 -0.6411168064768619
3 -2.6443330415142845e-13 -0.5 1.6656703236063424 -0.9616752097152929
4 -2.673651044388047e-13 -0.5 2.2208937648084563 -1.2822336129537237
5 -2.6599003409620336e-13 -0.5 2.7761172060105705 -1.6027920161921547
6 -2.646004889337763e-13 -0.5 3.3313406472126847 -1.9233504194305857
7 -2.6462522652324757e-13 -0.5 3.8865640884147994 -2.2439088226690167
8 -2.6482818376745266e-13 -0.5 4.441787529616913 -2.5644672259074475
9 -2.6465225739049524e-13 -0.5 4.997010970819027 -2.8850256291458787
10 -2.646533954470292e-13 -0.5 5.552234412021141 -3.2055840323843094
11 -2.641236056361629e-13 -0.5 6.107457853223255 -3.52614243562274
12 -2.6375967550003355e-13 -0.5 6.6626812944253695 -3.8467008388611714
13 -2.64919210197772e-13 -0.5 7.217904735627483 -4.167259242099602
14 -2.6449588520850435e-13 -0.5 7.773128176829599 -4.487817645338033
15 -2.649496397127658e-13 -0.5 8.32835161803171 -4.808376048576465
16 -2.645473372817582e-13 -0.5 8.883575059233825 -5.128934451814895
17 -2.650508869856644e-13 -0.5 9.43879850043594 -5.449492855053326
18 -2.6458469913899536e-13 -0.5 9.994021941638055 -5.770051258291757
19 -2.645526826126425e-13 -0.5 10.549245382840168 -6.090609661530188
20 -2.6490098153258015e-13 -0.5 11.104468824042282 -6.411168064768619
21 -2.6441589025050423e-13 -0.5 11.659692265244397 -6.73172646800705
22 -2.646828171618899e-13 -0.5 12.21491570644651 -7.05228487124548
23 -2.644554687648652e-13 -0.5 12.770139147648626 -7.3728432744839125
24 -2.642168928612406e-13 -0.5 13.325362588850739 -7.693401677722343
25 -2.651153695481474e-13 -0.5 13.880586030052854 -8.013960080960775
26 -2.645121602568807e-13 -0.5 14.435809471254966 -8.334518484199204
27 -2.6430439579708623e-13 -0.5 14.991032912457081 -8.655076887437636
28 -2.6487179740159526e-13 -0.5 15.546256353659198 -8.975635290676067
29 -2.646323288307973e-13 -0.5 16.10147979486131 -9.296193693914496
30 -2.6423008993927396e-13 -0.5 16.65670323606342 -9.61675209715293
31 -2.650746326989735e-13 -0.5 17.211926677265538 -9.93731050039136
32 -2.6472943996173974e-13 -0.5 17.76715011846765 -10.25786890362979
33 -2.6448999289964466e-13 -0.5 18.322373559669767 -10.578427306868221
34 -2.6473392718116755e-13 -0.5 18.87759700087188 -10.898985710106652
35 -2.6400901420819283e-13 -0.5 19.432820442073993 -11.219544113345084
36 -2.645389895925494e-13 -0.5 19.98804388327611 -11.540102516583515
37 -2.6437435134814117e-13 -0.5 20.543267324478226 -11.860660919821946
38 -2.6581349798922925e-13 -0.5 21.098490765680335 -12.181219323060375
39 -2.645584372179433e-13 -0.5 21.65371420688245 -12.501777726298807
40 -2.6458371672288606e-13 -0.5 22.208937648084564 -12.822336129537238
41 -2.646104731094539e-13 -0.5 22.764161089286677 -13.142894532775669
42 -2.6450657223029517e-13 -0.5 23.319384530488794 -13.4634529360141
43 -2.6456309760246825e-13 -0.5 23.874607971690907 -13.784011339252531
44 -2.644215857959589e-13 -0.5 24.42983141289302 -14.10456974249096
45 -2.6492220758524355e-13 -0.5 24.985054854095132 -14.425128145729392
46 -2.645223189172967e-13 -0.5 25.540278295297252 -14.745686548967825
47 -2.6410344106077724e-13 -0.5 26.09550173649936 -15.066244952206254
48 -2.643763444638529e-13 -0.5 0.5552234412021141 0.32055840323843093
49 -2.6525687303078567e-13 -0.5 1.1104468824042282 0.0
50 -2.654412050283302e-13 -0.5 1.6656703236063424 -0.32055840323843093
51 -2.6470549311620124e-13 -0.5 2.2208937648084563 -0.641116806476862
52 -2.6505822349882094e-13 -0.5 2.7761172060105705 -0.9616752097152929
53 -2.638809820854333e-13 -0.5 3.3313406472126847 -1.282233612953724
54 -2.6455566349685533e-13 -0.5 3.8865640884147985 -1.6027920161921547
55 -2.6481712513551467e-13 -0.5 4.441787529616913 -1.9233504194305857
56 -2.6409470739343723e-13 -0.5 4.997010970819027 -2.2439088226690163
57 -2.6472935764583306e-13 -0.5 5.552234412021142 -2.5644672259074475
58 -2.644995160308423e-13 -0.5 6.107457853223255 -2.8850256291458787
59 -2.6463580011497994e-13 -0.5 6.6626812944253695 -3.2055840323843094
60 -2.6456519995081593e-13 -0.5 7.217904735627484 -3.52614243562274
61 -2.6440018461378915e-13 -0.5 7.773128176829597 -3.846700838861171
62 -2.648554388641539e-13 -0.5 8.328351618031713 -4.167259242099603
63 -2.6037208127663974e-13 -0.5 8.883575059233825 -4.487817645338033
64 -2.648036609369117e-13 -0.5 9.43879850043594 -4.808376048576465
65 -2.6456742985264434e-13 -0.5 9.994021941638055 -5.128934451814896
66 -2.646603937876294e-13 -0.5 10.54924538284017 -5.449492855053326
67 -2.643611933336114e-13 -0.5 11.104468824042282 -5.770051258291757
68 -2.6470253295710143e-13 -0.5 11.659692265244397 -6.090609661530189
69 -2.6460283905798143e-13 -0.5 12.214915706446511 -6.411168064768619
70 -2.653485898531802e-13 -0.5 12.770139147648624 -6.73172646800705
71 -2.6404447756749346e-13 -0.5 13.32536258885074 -7.052284871245481
72 -2.6455187174121706e-13 -0.5 13.880586030052854 -7.3728432744839125
73 -2.6533183253716623e-13 -0.5 14.435809471254968 -7.693401677722343
