Domain I Vapp
AA -1.067565987512393e-13 -0.04
AB -8.344233079937548e-14 -0.02
AA -8.343816945145421e-14 -0.02
AA -1.252316504770757e-13 -0.06
AB -1.0715355160362906e-13 -0.04
AB -1.2565536304377017e-13 -0.06
AB -1.3846393869308873e-13 -0.08
AA -1.531940647496188e-13 -0.12
AA -1.3871050054407354e-13 -0.08
AB -1.5314352926955365e-13 -0.12
AB -1.5671144284703315e-13 -0.14
AA -1.569748563379152e-13 -0.14
AB -1.5903359183365967e-13 -0.16
AA -1.5930148425135198e-13 -0.16
AA -1.6083403480776595e-13 -0.18
AB -1.6045069010997645e-13 -0.18
AB -1.4628980990088837e-13 -0.1
AA -1.4761017900565921e-13 -0.1
AA -1.6258937284423864e-13 -0.22
AA -1.6322568504426508e-13 -0.24
AB -1.6261953414037924e-13 -0.22
AB -1.630383662067845e-13 -0.24
AA -1.6356476568971967e-13 -0.26
AB -1.6328097893207278e-13 -0.26
AA -1.6120047877613986e-13 -0.2
AB -1.6276617182157959e-13 -0.28
AA -1.6271032489851415e-13 -0.28
AB -1.6371644342011637e-13 -0.32
AA -1.6358355813614313e-13 -0.32
AB -1.6181894101381968e-13 -0.2
AA -1.643109609714253e-13 -0.36
AB -1.6340425620428623e-13 -0.34
AA -1.640727991219898e-13 -0.34
AA -1.643758921850779e-13 -0.38
AB -1.6424432088921537e-13 -0.38
AB -1.6499520030161284e-13 -0.36
AA -1.6420702971656673e-13 -0.3
AA -1.6417054743189926e-13 -0.42
AB -1.6318111536764833e-13 -0.3
AA -1.6447910439344167e-13 -0.44
AB -1.6477910167628516e-13 -0.44
AB -1.6370483687629412e-13 -0.42
AA -1.6440895122100696e-13 -0.46
AA -1.6450389920302202e-13 -0.48
AB -1.6457108445225227e-13 -0.46
AB -1.6433923160908357e-13 -0.4
AA -1.6444917575108088e-13 -0.4
AB -1.6461122522727774e-13 -0.48
AA -1.6483649567733027e-13 -0.5
AA -6.197939069955183e-14 0.02
AB -1.632947931203359e-13 -0.5
AA -3.913770791585011e-14 0.04
AB -5.815236654040627e-14 0.02
AB -2.7210740533315092e-14 0.04
AA -1.9151183823840797e-14 0.06
AB -1.7384374897655517e-14 0.06
AA -5.89328484595776e-16 0.08
AB -5.867632573415929e-14 0.0
AA -6.620838556247845e-14 0.0
AB -1.1679834483737492e-14 0.08
AB -1.4670520892573816e-15 0.12
AA -1.4249217400243988e-15 0.14
AA -2.738870855724359e-15 0.12
AB -1.2754551244862896e-15 0.14
AB 6.352228591228125e-16 0.16
AA 5.4186946713894324e-18 0.16
AB -3.320929695691485e-16 0.18
AA 3.3078826329058887e-16 0.18
AA -5.381429439678117e-15 0.1
AB -2.8449984079975833e-15 0.1
AB 6.885143520893734e-17 0.22
AA -3.733486935635498e-17 0.22
AB -3.94096124767746e-17 0.24
AA -1.892258567885976e-17 0.26
AA -1.3501551605767462e-17 0.24
AB -1.3434748438121435e-17 0.28
AB -2.2583887098294855e-17 0.26
AA 1.1999459290781598e-18 0.28
AA -1.3197332988517084e-16 0.2
AA -3.0010729740178776e-18 0.3
AB -7.464506248606713e-17 0.2
