Domain I Vapp
AA -1.0423024425431696e-13 -0.04
AA -8.603836254774266e-14 -0.02
AB -3.40432351733046e-14 -0.02
AB -4.163199687966122e-14 -0.04
AB -5.4978041585067225e-14 -0.06
AA -1.1572017215220412e-13 -0.06
AA -1.276852161964365e-13 -0.12
AB -6.857611434679583e-14 -0.08
AA -1.220613514759943e-13 -0.08
AB -9.330445576539912e-14 -0.12
AB -1.0223058440367196e-13 -0.14
AA -1.2858472804557056e-13 -0.14
AB -1.0955313702873245e-13 -0.16
AA -1.2898813695855937e-13 -0.16
AA -1.2977378196404036e-13 -0.18
AB -1.152688872190174e-13 -0.18
AA -1.2572405192870764e-13 -0.1
AB -8.129362293424092e-14 -0.1
AB -1.2267612981669638e-13 -0.22
AA -1.3067553928982468e-13 -0.24
AA -1.3045318086669595e-13 -0.22
AB -1.2499750076773207e-13 -0.24
AB -1.2650815732250015e-13 -0.26
AA -1.3025030849386835e-13 -0.26
AA -1.3030453824989638e-13 -0.2
AA -1.305644196556288e-13 -0.28
AB -1.279093691176432e-13 -0.28
AA -1.3138122306045793e-13 -0.32
AB -1.1965609048979526e-13 -0.2
AB -1.2941824746412672e-13 -0.32
AA -1.31321352720789e-13 -0.34
AB -1.2995676938188186e-13 -0.34
AA -1.310438841725519e-13 -0.36
AB -1.3036530306391414e-13 -0.36
AA -1.3115457185834576e-13 -0.38
AB -1.3076021118633766e-13 -0.38
AA -1.3118563493320153e-13 -0.3
AB -1.2899409878924167e-13 -0.3
AA -1.3065836405282032e-13 -0.42
AA -1.31014993024162e-13 -0.44
AB -1.3102877094537574e-13 -0.42
AB -1.3149860257830144e-13 -0.44
AA -1.3105052352830792e-13 -0.46
AA -1.3110906388608005e-13 -0.48
AB -1.3125253603957155e-13 -0.46
AB -1.305190623343504e-13 -0.4
AB -1.312935291909089e-13 -0.48
AA -1.31376428516072e-13 -0.4
AA -1.3153617570404026e-13 -0.5
AA -3.986691637695055e-14 0.02
AB -1.3016108055204875e-13 -0.5
AB -7.043338391631092e-15 0.04
AB -1.542632407754122e-14 0.02
AA -3.345972766516844e-14 0.04
AA -2.0445399062593143e-14 0.06
AB -6.1606463992777855e-15 0.06
AA -5.223912116976133e-15 0.08
AB -3.4730146699746673e-15 0.08
AB -2.38066991229842e-14 0.0
AA -6.28975874059234e-14 0.0
AB -1.2955930598772109e-15 0.12
AA -9.18329698557235e-16 0.14
AA -1.485225228762143e-15 0.12
AA -4.9099106314975946e-18 0.16
AB -3.880328999256368e-16 0.16
AB -6.562323753161097e-16 0.14
AA -4.004899690048103e-15 0.1
AA 1.8143610894033067e-16 0.18
AB 4.264571036686065e-17 0.18
AB -1.9002670725364286e-15 0.1
AB -3.664499298219739e-17 0.22
AA -3.804338254192294e-17 0.22
AA -1.9853927445933064e-17 0.24
AB -1.081857411364541e-17 0.24
AA -1.8862083559207677e-17 0.26
AB -1.974935485185321e-17 0.26
AA -1.0775399390767258e-17 0.28
AB -1.497833393807465e-17 0.28
AB -9.837247653074797e-17 0.2
AA -2.990795341927077e-18 0.3
AA -7.678835391355454e-17 0.2
