Domain I Vapp
AA -5.816235094126698e-14 -0.04
AB -4.8751674672681165e-14 -0.02
AA -4.513043942479357e-14 -0.02
AB -7.33210604702058e-14 -0.06
AB -6.244296999192249e-14 -0.04
AA -6.909423271875062e-14 -0.06
AA -7.790752927803431e-14 -0.08
AB -8.108509415952965e-14 -0.08
AA -8.800774067535403e-14 -0.12
AA -9.056125701152736e-14 -0.14
AB -9.017090540000995e-14 -0.12
AB -9.223162182806344e-14 -0.14
AA -9.253122757924774e-14 -0.16
AB -9.39136456670884e-14 -0.16
AA -9.412299813218957e-14 -0.18
AB -8.612577508661215e-14 -0.1
AB -9.507006771670474e-14 -0.18
AA -8.35621178021789e-14 -0.1
AA -9.671546855971025e-14 -0.24
AA -9.607282991048818e-14 -0.22
AB -9.659506255752172e-14 -0.22
AA -9.719723380218912e-14 -0.26
AB -9.743612698732224e-14 -0.26
AB -9.706941856357622e-14 -0.24
AB -9.705586692095668e-14 -0.28
AA -9.525328565952041e-14 -0.2
AA -9.756969118969866e-14 -0.28
AB -9.805671187393388e-14 -0.32
AA -9.801293121837542e-14 -0.32
AB -9.594220823559913e-14 -0.2
AA -9.758604650121129e-14 -0.36
AA -9.808826228625452e-14 -0.34
AB -9.820143232048064e-14 -0.34
AA -9.835531127699407e-14 -0.38
AB -9.8338305543785e-14 -0.38
AB -9.83226336747101e-14 -0.36
AA -9.716571914383539e-14 -0.3
AA -9.847236971154309e-14 -0.42
AB -9.799672104162819e-14 -0.3
AB -9.815714316318631e-14 -0.42
AA -9.851795973883155e-14 -0.44
AB -9.856707592730272e-14 -0.44
AA -9.855333026952891e-14 -0.48
AB -9.876710921326234e-14 -0.46
AA -9.831218818467824e-14 -0.46
AB -9.842664177260537e-14 -0.4
AB -9.855767692299332e-14 -0.48
AA -9.842135982329467e-14 -0.4
AA -3.23232059932099e-14 0.02
AA -9.860974745712504e-14 -0.5
AB -9.84068062989033e-14 -0.5
AA -2.0700234291177877e-14 0.04
AB -2.499166812924439e-14 0.04
AB -2.2076652456058203e-14 0.02
AA -6.414996294391408e-15 0.08
AA -5.667186836079358e-15 0.06
AB -7.304271959646816e-15 0.06
AB -9.179870359975096e-16 0.08
AB -2.985989102919626e-14 0.0
AA -3.148249117649073e-14 0.0
AB -1.4768564715281377e-15 0.12
AA -2.0285544684635626e-15 0.12
AA -6.085837386384984e-16 0.14
AB -2.900000486160946e-16 0.14
AA -4.3420506915438564e-16 0.16
AB -3.242764719138261e-16 0.16
AA -2.0435623651709415e-16 0.18
AA -3.5409304837004412e-15 0.1
AB 3.5549194913223756e-17 0.18
AB -4.482825384433909e-17 0.22
AB -3.3860943059109827e-15 0.1
AA -3.2421261366873484e-17 0.22
AA -1.263598965368384e-17 0.26
AB -1.7229027071571985e-17 0.24
AA 1.1590406667689499e-17 0.24
AA -6.710547047440909e-18 0.28
AB -1.0676886715669284e-17 0.28
AB 2.335728595576125e-18 0.26
AA -6.550339267215059e-18 0.3
AB 6.266339862569954e-17 0.2
AA -7.627111472502378e-17 0.2
