Domain I Vapp
AA -1.7893982750946942e-13 -0.04
AB -1.582619528542062e-13 -0.02
AA -1.4504385674044052e-13 -0.02
AB -2.1640568538181807e-13 -0.06
AB -1.9254924772145067e-13 -0.04
AA -2.045224419083022e-13 -0.06
AA -2.429199413257672e-13 -0.12
AB -2.3178113106615547e-13 -0.08
AA -2.219109467485069e-13 -0.08
AB -2.465245564956364e-13 -0.12
AB -2.514288442791369e-13 -0.14
AA -2.48844979404316e-13 -0.14
AA -2.522262827715317e-13 -0.16
AA -2.555183369391534e-13 -0.18
AB -2.540971058975905e-13 -0.16
AB -2.569270802956705e-13 -0.18
AA -2.346397969773149e-13 -0.1
AB -2.41157343354971e-13 -0.1
AA -2.5938843934295843e-13 -0.22
AA -2.60150123016629e-13 -0.24
AB -2.5959674932713736e-13 -0.22
AB -2.604774484887169e-13 -0.24
AB -2.617213649335143e-13 -0.26
AA -2.6120048688106773e-13 -0.26
AA -2.6155788138560894e-13 -0.28
AB -2.6198944004376073e-13 -0.28
AA -2.57609465341705e-13 -0.2
AB -2.5796839307590954e-13 -0.2
AB -2.623837418759944e-13 -0.32
AA -2.625627505622625e-13 -0.32
AA -2.629592496955729e-13 -0.34
AA -2.628691399771019e-13 -0.36
AB -2.6245177468622347e-13 -0.34
AB -2.6327682046471314e-13 -0.38
AA -2.6239824858018994e-13 -0.38
AB -2.6278002864827805e-13 -0.36
AA -2.619703516945394e-13 -0.3
AB -2.6215106895023305e-13 -0.3
AA -2.632023156571986e-13 -0.42
AB -2.630440263733659e-13 -0.42
AA -2.6264987608883e-13 -0.44
AB -2.632737340947595e-13 -0.44
AB -2.625912705720005e-13 -0.46
AA -2.632819818238354e-13 -0.46
AA -2.622371439157541e-13 -0.48
AA -2.635495159109088e-13 -0.4
AB -2.622135475803136e-13 -0.4
AB -2.6316232256307264e-13 -0.48
AA -2.632340950874082e-13 -0.5
AA -6.724026246390561e-14 0.02
AB -2.632239688354396e-13 -0.5
AB -7.338948612643467e-14 0.02
AA -8.319895286236275e-14 0.04
AB -4.142974519623307e-14 0.04
AA -3.8046287660516005e-14 0.06
AB -4.685884892063386e-14 0.06
AA -1.6651767982739437e-14 0.08
AB -2.3736262107375956e-14 0.08
AB -1.1535158941867051e-13 0.0
AA -1.0554888333203438e-13 0.0
AB -4.3839840855646666e-15 0.12
AA -2.195780006615453e-15 0.14
AA -4.6987444473251055e-15 0.12
AB -1.2018940763655012e-15 0.16
AB -2.1809773135248718e-15 0.14
AA 2.9323152928064844e-16 0.16
AB -5.676414117231071e-16 0.18
AA 4.602519378175839e-16 0.18
AA -9.662315797871402e-17 0.1
AB -6.809176509763287e-15 0.1
AA -1.1552299296914522e-16 0.22
AB -9.118193678108589e-17 0.22
AA -6.275222203835235e-17 0.24
AB -5.570137165941052e-17 0.24
AA -1.901420762278019e-17 0.26
AB -2.4789572855980156e-17 0.28
AB -2.359140401596084e-17 0.26
AA -1.0668578960052594e-17 0.28
AA -2.147181321656119e-16 0.2
AB -2.240590199541586e-16 0.2
AA -1.6750049136452796e-17 0.3
