Domain I Vapp
AA -6.220689381507957e-14 -0.02
AA -7.551932097873018e-14 -0.04
AB -2.891313554955674e-14 -0.02
AB -5.0387836541869425e-14 -0.06
AB -3.9492821691048294e-14 -0.04
AA -8.417928185595528e-14 -0.06
AA -8.922105029265486e-14 -0.08
AA -9.30465270918655e-14 -0.12
AB -6.080452115978141e-14 -0.08
AB -8.282084585723708e-14 -0.14
AB -7.664745099492051e-14 -0.12
AA -9.401121633385399e-14 -0.14
AB -8.709082063301647e-14 -0.16
AA -9.495597979114458e-14 -0.16
AA -9.594532018402896e-14 -0.18
AB -6.987153824093559e-14 -0.1
AB -9.020463334919774e-14 -0.18
AA -9.101068271733615e-14 -0.1
AA -9.736209280932712e-14 -0.24
AA -9.703588164121753e-14 -0.22
AB -9.411351589973477e-14 -0.22
AB -9.52931777835679e-14 -0.24
AA -9.757374399569352e-14 -0.26
AB -9.597838765473264e-14 -0.26
AB -9.678639626722634e-14 -0.28
AA -9.641946802800517e-14 -0.2
AA -9.784757494224572e-14 -0.28
AB -9.094581074159375e-14 -0.2
AB -9.75905749346904e-14 -0.32
AA -9.826371429877538e-14 -0.32
AA -9.776195283135984e-14 -0.36
AB -9.783930324406602e-14 -0.34
AA -9.820404652226063e-14 -0.34
AB -9.815649199237979e-14 -0.38
AB -9.802257246469733e-14 -0.36
AA -9.836945851025279e-14 -0.38
AB -9.72596866250528e-14 -0.3
AA -9.779646646506447e-14 -0.3
AA -9.84161711289419e-14 -0.42
AA -9.853019701556676e-14 -0.44
AB -9.83558958647019e-14 -0.42
AB -9.840657505632202e-14 -0.44
AA -9.85617898953039e-14 -0.48
AB -9.84519700908203e-14 -0.46
AA -9.844833226858163e-14 -0.46
AA -9.847128862272454e-14 -0.4
AB -9.803059142212706e-14 -0.4
AB -9.848249887064594e-14 -0.48
AA -9.845257998853687e-14 -0.5
AB -9.83093166390042e-14 -0.5
AA -3.698150315108391e-14 0.02
AA -1.6244130453827536e-14 0.04
AB -1.72101519582343e-14 0.02
AB -9.11269754388739e-15 0.04
AB -6.073202374921241e-15 0.06
AA -9.591966092498011e-15 0.08
AA -8.41813433851458e-15 0.06
AB -3.1721788283302864e-15 0.08
AA -4.5546504147505337e-14 0.0
AB -2.7158977637833027e-14 0.0
AB -1.3399315161587102e-15 0.12
AA -6.048101437138405e-16 0.12
AA -8.564838949842133e-16 0.14
AB -4.007663722717255e-16 0.16
AB -1.5157959168208048e-16 0.14
AA 7.006498386708513e-16 0.16
AB -1.8674740957434843e-16 0.18
AA -1.465614386672019e-16 0.18
AA -4.1354958576212824e-15 0.1
AB -2.3422887872401045e-15 0.1
AA -2.5457606853227268e-17 0.22
AB 3.7633716103903315e-17 0.22
AA -1.523353276121256e-17 0.26
AA 4.64514111970272e-18 0.24
AB -2.1499158847595885e-17 0.24
AB -9.531728446004187e-18 0.28
AB -4.201416456182653e-18 0.26
AA -9.344484452167911e-18 0.28
AA -3.327848803381615e-17 0.2
AB -8.576509244831986e-17 0.2
AA 1.7540467030567664e-18 0.3
