Domain I Vapp
AB -4.569210942928388e-14 -0.02
AA -6.932073196880623e-14 -0.04
AA -5.718672908391032e-14 -0.02
AA -7.976093804639915e-14 -0.06
AB -5.838699083187073e-14 -0.04
AB -6.889777400462616e-14 -0.06
AA -9.187889150674413e-14 -0.12
AA -8.578156488155249e-14 -0.08
AB -7.682249695424067e-14 -0.08
AA -9.350093331095278e-14 -0.14
AB -8.967192136673639e-14 -0.14
AB -8.676992348274238e-14 -0.12
AA -9.466365257579541e-14 -0.16
AA -9.544338749450267e-14 -0.18
AB -9.186838274734726e-14 -0.16
AB -9.351415052705748e-14 -0.18
AB -8.300719667359427e-14 -0.1
AA -8.916634247738591e-14 -0.1
AA -9.71953807205972e-14 -0.24
AA -9.676203628749871e-14 -0.22
AB -9.564024356383795e-14 -0.22
AA -9.746467998531873e-14 -0.26
AB -9.672576931566347e-14 -0.26
AB -9.621395994694332e-14 -0.24
AA -9.639478796004227e-14 -0.2
AB -9.735495882092108e-14 -0.28
AA -9.768757179570606e-14 -0.28
AA -9.788443484377348e-14 -0.32
AB -9.784985714133623e-14 -0.32
AB -9.47022207431354e-14 -0.2
AB -9.78982213620144e-14 -0.34
AA -9.829706698323659e-14 -0.36
AA -9.810005287950667e-14 -0.34
AB -9.739929279081061e-14 -0.36
AA -9.817316172759386e-14 -0.38
AB -9.784555692415151e-14 -0.38
AB -9.756113334019706e-14 -0.3
AA -9.816355576655219e-14 -0.3
AA -9.755463393107906e-14 -0.42
AB -9.836775497483412e-14 -0.44
AB -9.827954002497903e-14 -0.42
AA -9.851126266577817e-14 -0.44
AB -9.831336085605394e-14 -0.46
AA -9.853249804627882e-14 -0.46
AA -9.88456999430025e-14 -0.48
AA -9.842512809400239e-14 -0.4
AB -9.851226469355015e-14 -0.48
AB -9.838210332529838e-14 -0.4
AA -2.624427364378778e-14 0.02
AA -9.854100692925797e-14 -0.5
AB -9.804275115900878e-14 -0.5
AB -1.5925301323885952e-14 0.04
AB -2.0596129466264194e-14 0.02
AA -1.4900566232422332e-14 0.04
AB -4.559441866349787e-15 0.06
AA -6.091045164918023e-15 0.08
AA -1.011124724845485e-14 0.06
AB -6.743158084574595e-15 0.08
AB -2.7180707658761857e-14 0.0
AA -4.1345030385140114e-14 0.0
AA -3.3674567352143997e-16 0.14
AB -1.6944827604110726e-15 0.12
AA -1.7468655888491862e-15 0.12
AA -2.0441633007131559e-16 0.16
AB -2.419024491589774e-16 0.16
AB 7.058158330180959e-16 0.14
AA -9.812946973897877e-17 0.18
AB -1.5543216346634351e-16 0.18
AA -3.178648646387194e-15 0.1
AB 2.2421233826159673e-15 0.1
AB -3.894629863427639e-17 0.22
AA -3.4960560594998267e-17 0.22
AA -1.4799532072610356e-17 0.24
AA -7.600576202631139e-18 0.26
AB -7.178176365587504e-18 0.24
AB -3.6204775270977576e-18 0.26
AA -8.238011821911947e-18 0.28
AB 4.49640640227941e-18 0.28
AA -2.948323988787893e-18 0.3
AA -7.186518307665991e-17 0.2
AB -8.380753425895708e-17 0.2
