Domain I Vapp
AA -8.832831889098891e-14 0.02
AB -1.3423821604351163e-13 -0.02
AA -1.9021614050219028e-13 -0.02
AA -2.3218502518444027e-13 -0.04
AB -6.128807086978497e-14 0.02
AA -5.019193664547654e-14 0.04
AB -1.7392686752710152e-13 -0.04
AB -5.071647773353242e-14 0.04
AA -2.6155391948400664e-13 -0.06
AB -3.2779450122190394e-14 0.06
AB -2.1220621725835493e-13 -0.06
AA -3.2141842615250075e-14 0.06
AA -2.326039531768861e-14 0.08
AB -2.417133262287461e-13 -0.08
AA -2.8071299111085606e-13 -0.08
AB -1.9148752555550023e-14 0.08
AA -1.3854713551230068e-13 0.0
AB -9.511864365180419e-14 0.0
AB -2.8354211868730914e-13 -0.12
AA -3.0149957925490356e-13 -0.12
AA -4.840906364849002e-15 0.12
AA -3.085505746706536e-13 -0.14
AB 2.3538112192421067e-15 0.12
AA -2.652854248696004e-15 0.14
AA -3.1314859958447627e-13 -0.16
AB -2.956456522556242e-13 -0.14
AB -1.99782971899113e-15 0.14
AB -3.053311233881329e-13 -0.16
AA 2.0830706555137792e-15 0.16
AB -3.0287148245588765e-16 0.16
AA -3.173968388207647e-13 -0.18
AB -3.1196331397333606e-13 -0.18
AA 3.108313250602206e-16 0.18
AB -6.845017486096158e-16 0.18
AA -2.9230560296673055e-13 -0.1
AA -6.638657861475547e-15 0.1
AA -3.2231464908311984e-13 -0.22
AB -2.6550612153552584e-13 -0.1
AB -1.0847273747589542e-14 0.1
AA -9.331481001974188e-17 0.22
AB -1.241048490070063e-16 0.22
AB -3.199690714679157e-13 -0.22
AA -3.2317164731047335e-13 -0.24
AB -3.2211554464560335e-13 -0.24
AA -6.414040509703611e-17 0.24
AA -3.2513564792520936e-13 -0.26
AB -8.286933679343951e-17 0.24
AA -2.7067848051351464e-18 0.26
AB -4.29420664575824e-17 0.26
AA -3.2616075796267956e-13 -0.28
AB -3.2414931343142515e-13 -0.26
AB -3.25546374121904e-13 -0.28
AB -1.234269419543348e-17 0.28
AA -3.805175439375278e-17 0.28
AA 1.590212087827437e-16 0.2
AA -3.2008417680460197e-13 -0.2
AB -3.1641947358295957e-13 -0.2
AB -3.391732480156868e-16 0.2
AB -3.268512492946916e-13 -0.32
AA -3.2782074229042924e-13 -0.32
AA -3.274521929009517e-13 -0.34
AB -3.277195263841842e-13 -0.34
AA -3.2733294542300077e-13 -0.36
AB -3.2768569166293494e-13 -0.38
AA -3.2399544517431164e-13 -0.38
AB -3.27763455690114e-13 -0.36
AA -2.6652261776154908e-17 0.3
AA -3.2594334149719403e-13 -0.3
AB -3.2615860924821327e-13 -0.3
AB -3.2856063165874605e-13 -0.42
AB -4.9679168390110296e-18 0.3
AA -3.290083563662383e-13 -0.42
AB -3.286085174140402e-13 -0.44
AA -3.2882354528944803e-13 -0.44
AA -3.290387257118895e-13 -0.46
AB -3.2800963711981643e-13 -0.46
AA -3.289070660461043e-13 -0.48
AB -3.2912952959707333e-13 -0.48
AA -3.2861564959574484e-13 -0.4
AB -3.2833457493563106e-13 -0.4
AA -3.289246407108954e-13 -0.5
AB -3.289672976805699e-13 -0.5
