Domain I Vapp
AA -4.041649457340541e-14 -0.02
AB -2.2386934052609957e-14 -0.02
AA -4.9455382883963297e-14 -0.04
AB -2.3581235960587762e-14 -0.04
AA -5.551534840084408e-14 -0.06
AB -3.882356340136717e-14 -0.06
AB -3.859117818835276e-14 -0.08
AA -6.309231912301919e-14 -0.12
AA -5.971380018850771e-14 -0.08
AB -5.390407932819587e-14 -0.14
AB -4.9886311577112606e-14 -0.12
AA -6.398099008670275e-14 -0.14
AB -5.693915505927689e-14 -0.16
AA -6.380579331236947e-14 -0.16
AA -6.466054126741724e-14 -0.18
AB -5.950798790530019e-14 -0.18
AB -4.472962796750565e-14 -0.1
AA -6.118121222193561e-14 -0.1
AA -6.5201808023881e-14 -0.22
AB -6.219848650648038e-14 -0.22
AA -6.528824747311202e-14 -0.24
AA -6.538350042889341e-14 -0.26
AB -6.315095557760532e-14 -0.24
AB -6.373265597997153e-14 -0.26
AB -6.425848985342933e-14 -0.28
AA -6.536059500853421e-14 -0.28
AA -6.523852217631048e-14 -0.2
AB -6.074105598147867e-14 -0.2
AA -6.558574971989539e-14 -0.32
AB -6.495173512188733e-14 -0.32
AA -6.542740656727589e-14 -0.34
AA -6.559419055605646e-14 -0.36
AB -6.511861184655516e-14 -0.34
AA -6.565361096519167e-14 -0.38
AB -6.528192762311271e-14 -0.36
AB -6.540610969586131e-14 -0.38
AB -6.465150913578793e-14 -0.3
AA -6.577368495153041e-14 -0.42
AA -7.235344944538186e-14 -0.3
AB -6.558085145372504e-14 -0.42
AA -6.550667715499129e-14 -0.44
AB -6.568111102875818e-14 -0.44
AA -6.578091832036998e-14 -0.46
AA -6.574708144549303e-14 -0.48
AB -6.568931749669786e-14 -0.46
AA -6.587631343875813e-14 -0.4
AB -6.553490202091596e-14 -0.48
AB -6.552930035349346e-14 -0.4
AB -6.567631325478304e-14 -0.5
AA -6.58341488441827e-14 -0.5
AA -2.839543369078809e-14 0.02
AB -9.678005855624298e-15 0.02
AA 1.876099474158058e-17 0.04
AB -5.8142153232719245e-15 0.04
AA 3.4829745485500656e-15 0.08
AB -3.497069539610242e-15 0.06
AA -1.0283224793293175e-14 0.06
AB -2.3111764471773725e-15 0.08
AB -1.449098521067176e-14 0.0
AA -2.927976364675897e-14 0.0
AB -5.477712827534515e-16 0.12
AA -9.122032879861157e-16 0.12
AA -5.005872794663877e-16 0.14
AB 5.946805149451854e-17 0.16
AB -2.720172285928782e-16 0.14
AA -2.089053274413513e-16 0.16
AB -1.2234928658501334e-16 0.18
AA -6.839969764827979e-17 0.18
AA -2.237961759111769e-15 0.1
AA -3.1116708443485644e-17 0.22
AB -1.9678334632637967e-17 0.22
AB -1.309853011853588e-15 0.1
AA -1.1980479806853137e-17 0.24
AA -5.943485297044285e-18 0.26
AB -9.337743909538444e-18 0.24
AA -3.667030555029229e-18 0.28
AB -7.78734586814586e-18 0.26
AB -6.169172353867654e-18 0.28
AB -5.621111496322306e-17 0.2
AA -4.859201094891743e-18 0.3
AA 2.871016438556465e-17 0.2
