Domain I Vapp
AA -3.627522552905343e-14 -0.04
AB -2.3638558829078285e-14 -0.02
AA -2.843301457142816e-14 -0.02
AB -3.9737567846876436e-14 -0.06
AB -3.190177274485446e-14 -0.04
AA -4.409775622118533e-14 -0.06
AB -4.6471844069982153e-14 -0.08
AA -5.80623468096693e-14 -0.12
AA -5.017553584879156e-14 -0.08
AA -6.026844730185679e-14 -0.14
AB -5.544774852904271e-14 -0.12
AB -5.829426208336495e-14 -0.14
AB -6.02744746640582e-14 -0.16
AA -6.313173755304997e-14 -0.18
AA -6.170027536118954e-14 -0.16
AA -5.482497405401858e-14 -0.1
AB -5.13591197909824e-14 -0.1
AB -6.178233141059428e-14 -0.18
AA -6.407313298227655e-14 -0.22
AB -6.355706523735176e-14 -0.22
AA -6.438519526135336e-14 -0.24
AB -6.400276458201871e-14 -0.24
AB -6.4163945971051e-14 -0.26
AA -6.50250050774711e-14 -0.26
AB -6.47992664422358e-14 -0.28
AA -6.501925494526733e-14 -0.28
AA -6.359974188210448e-14 -0.2
AB -6.281439078228595e-14 -0.2
AB -6.522908877722912e-14 -0.32
AA -6.527839467692898e-14 -0.32
AB -6.537066615720132e-14 -0.34
AA -6.550856071224871e-14 -0.34
AA -6.552979388071859e-14 -0.36
AB -6.526641527276638e-14 -0.36
AB -6.556725996582362e-14 -0.38
AA -6.552465178007409e-14 -0.38
AA -6.544789527871502e-14 -0.3
AA -6.555064036587313e-14 -0.42
AB -6.506237465061187e-14 -0.3
AB -6.568367196577155e-14 -0.44
AA 0.0 -0.44
AB -6.581051537868205e-14 -0.42
AB -6.572019218000488e-14 -0.46
AA -6.574086460087279e-14 -0.48
AA -6.580112151998384e-14 -0.46
AB -6.573135258034887e-14 -0.48
AB -6.569495106512193e-14 -0.4
AA -6.56395273240307e-14 -0.4
AB -6.548883932843347e-14 -0.5
AA -6.576339791493831e-14 -0.5
AA -1.803327025489173e-14 0.02
AA -1.135167178865855e-14 0.04
AB -7.103804011475718e-15 0.04
AB -1.452053535547836e-14 0.02
AA -2.6466887120621292e-15 0.08
AB -4.8025645706159975e-15 0.06
AA -6.611961035383499e-15 0.06
AB -2.6894648269496615e-15 0.08
AB -2.3138486962057432e-14 0.0
AA -2.7538041916807033e-14 0.0
AA -2.318192807506699e-16 0.14
AB -5.279916200193376e-16 0.12
AA -8.832981543908898e-16 0.12
AA 6.303059649174178e-17 0.16
AB -1.703179702481432e-16 0.16
AB -3.088099759415558e-16 0.14
AB -1.1964445945571432e-16 0.18
AA -9.206466433501685e-17 0.18
AA -1.9210674641812743e-15 0.1
AA -2.0189756270570992e-17 0.22
AB -2.7120645153519024e-17 0.22
AB -8.716139097281371e-16 0.1
AA 3.957363399564952e-18 0.26
AA -1.3314547001662706e-17 0.24
AB -1.4322788638351543e-17 0.24
AB -1.5648742611606846e-18 0.26
AB -6.705260933986352e-18 0.28
AA -5.3518651205778055e-18 0.28
AA 5.28365867328237e-19 0.2
AB -5.1645690142792e-17 0.2
AA -5.563479611421748e-18 0.3
