Domain I Vapp
AA -2.551457897689281e-14 -0.02
AB -2.5099527782055233e-14 -0.02
AA -2.6883134811268236e-14 -0.04
AB -2.8518922455367294e-14 -0.04
AB -3.6963657107407905e-14 -0.06
AA -3.490053489328847e-14 -0.06
AA -5.286752247477519e-14 -0.12
AB -4.3943910185307936e-14 -0.08
AA -4.21306609094767e-14 -0.08
AB -5.75855174759741e-14 -0.14
AB -5.385408423662204e-14 -0.12
AA -5.659084600565144e-14 -0.14
AA -5.907908642354588e-14 -0.16
AA -6.101575401010176e-14 -0.18
AB -5.989393882728859e-14 -0.16
AB -6.149719185147583e-14 -0.18
AA -4.8311001855538585e-14 -0.1
AB -4.991305712669869e-14 -0.1
AA -6.339853812888607e-14 -0.22
AB -6.349782974150744e-14 -0.22
AA -6.399395401455556e-14 -0.24
AB -6.455664985953788e-14 -0.26
AB -6.402661894096843e-14 -0.24
AA -6.449654172386796e-14 -0.26
AA -6.364984729757968e-14 -0.28
AA -6.230005002880492e-14 -0.2
AB -6.492225682066227e-14 -0.28
AB -6.268426629383888e-14 -0.2
AA -6.527563572359989e-14 -0.32
AB -6.498407735630086e-14 -0.32
AA -6.535352017280033e-14 -0.34
AA -6.507475756656432e-14 -0.36
AB -6.540510547300354e-14 -0.34
AB -6.526267666704022e-14 -0.38
AA -6.437516479763417e-14 -0.38
AB -6.54979171868136e-14 -0.36
AA -6.509712829340202e-14 -0.3
AB -6.50367781366167e-14 -0.3
AA -6.574610465805699e-14 -0.42
AB -6.568323214041202e-14 -0.44
AB -6.588263085281999e-14 -0.42
AA -6.570638857249899e-14 -0.44
AA -6.542947399565216e-14 -0.48
AB -6.569726911296766e-14 -0.46
AA -6.570146103394613e-14 -0.46
AB -6.574469649098778e-14 -0.48
AB -6.560004898413576e-14 -0.4
AA -6.56266176780682e-14 -0.4
AB -6.575847007073046e-14 -0.5
AA -1.0544684081110693e-14 0.02
AA -6.57302058882706e-14 -0.5
AB -7.169419033166104e-15 0.04
AA -5.5869641594706866e-15 0.04
AB -1.223178422353622e-14 0.02
AA -3.2229278494935944e-15 0.06
AA -2.3577198891235586e-15 0.08
AB -4.4167996102769805e-15 0.06
AB -1.9655479640751603e-14 0.0
AA -1.5386623065942874e-14 0.0
AB -2.486469546955536e-15 0.08
AB -9.201665428209709e-16 0.12
AA -4.544386501569252e-16 0.14
AA -7.98904513445707e-16 0.12
AB 8.862936213092865e-17 0.14
AA -9.077868670421928e-17 0.16
AB -2.257268729762566e-16 0.16
AB -8.672439093427902e-17 0.18
AA -9.042915027408145e-17 0.18
AA -1.1813139094470183e-15 0.1
AB -1.3570274648740234e-15 0.1
AA -2.5318887267503575e-17 0.22
AB 2.228560028564117e-17 0.22
AA -1.4367657077343697e-17 0.24
AB -1.4873746476394953e-17 0.24
AA -8.079873949792375e-18 0.26
AB -1.6352917297967037e-18 0.26
AB -6.232557629474253e-18 0.28
AA -6.259780122730648e-18 0.28
AB -3.825904866231555e-17 0.2
AA -3.474796843091751e-17 0.2
AA -2.6922694808452556e-18 0.3
