Domain I Vapp
AA -2.8421872086108593e-13 -0.02
AA -3.501117152541236e-13 -0.04
AB -3.005280842551572e-13 -0.02
AA -3.997403628326758e-13 -0.06
AB -4.110270381991687e-13 -0.06
AB -3.668339046583763e-13 -0.04
AB -4.410832915264563e-13 -0.08
AA -4.3220197517977925e-13 -0.08
AA -4.664033015229673e-13 -0.12
AB -4.706693202250782e-13 -0.12
AB -4.769283598414787e-13 -0.14
AA -4.749559149148867e-13 -0.14
AA -4.802574205453503e-13 -0.16
AB -4.825950835038165e-13 -0.16
AA -4.8447608366175e-13 -0.18
AB -4.58551971793044e-13 -0.1
AA -4.527028802070969e-13 -0.1
AB -4.857158027931796e-13 -0.18
AA -4.903417681054213e-13 -0.24
AB -4.894964196485095e-13 -0.22
AA -4.882162073089436e-13 -0.22
AB -4.903766389272913e-13 -0.24
AB -4.911648045757094e-13 -0.26
AA -4.905024870550399e-13 -0.26
AA -4.908262203863784e-13 -0.28
AB -4.919074918482983e-13 -0.28
AA -4.86758446353574e-13 -0.2
AB -4.925647247105439e-13 -0.32
AB -4.880684456910189e-13 -0.2
AA -4.92741465075442e-13 -0.32
AA -4.933159760427611e-13 -0.34
AB -4.926724840251756e-13 -0.34
AA -4.927462995360252e-13 -0.36
AB -4.930496319416584e-13 -0.36
AB -4.928590634754725e-13 -0.38
AA -4.917890621030337e-13 -0.38
AB -4.925212985129116e-13 -0.3
AA -4.920758076138674e-13 -0.3
AA -4.920038236649954e-13 -0.42
AA -4.935801730796187e-13 -0.44
AB -4.919914461809186e-13 -0.42
AB -4.933366829989859e-13 -0.44
AA -4.933679540048362e-13 -0.46
AA -4.934186261567169e-13 -0.48
AB -4.931656749208043e-13 -0.46
AA -4.931915457426123e-13 -0.4
AB -4.937773577898468e-13 -0.48
AB -4.930435749293545e-13 -0.4
AB -4.933961545875247e-13 -0.5
AA -1.305093877472355e-13 0.02
AA -4.922860577894714e-13 -0.5
AA -7.440408766149282e-14 0.04
AB -1.3893017687636397e-13 0.02
AB -7.853717527728944e-14 0.04
AA -8.489027671223143e-14 0.06
AA -4.953821714997896e-14 0.08
AB -7.825652348804102e-14 0.06
AB -4.0281466477801155e-14 0.08
AA -2.0512686598800674e-13 0.0
AB -2.1847302041395797e-13 0.0
AA -5.332591555611664e-16 0.14
AB -1.3005552230889896e-15 0.12
AA -3.0753382382300437e-15 0.12
AB -2.9604263868212425e-15 0.14
AB -2.719167833853462e-15 0.16
AA -1.0443405769736529e-15 0.16
AA -1.64034318243512e-14 0.1
AB -1.1972041511141452e-15 0.18
AA 6.075956364872215e-16 0.18
AB -2.2724314825157017e-14 0.1
AB 2.4321570974739473e-16 0.22
AA -2.5967034798072535e-16 0.22
AA -3.760285774475613e-17 0.26
AB -1.3933452579126117e-16 0.24
AA -7.725252000853459e-17 0.24
AA -4.443525014737282e-17 0.28
AB -7.139294809007472e-17 0.26
AB -4.0661980020690594e-17 0.28
AB -6.410434460271039e-16 0.2
AA -5.270017341776869e-16 0.2
AA -3.337963721571382e-17 0.3
