Domain I Vapp
AB -1.804649902703649e-13 -0.02
AA -1.5073690300176158e-13 -0.02
AA -9.6206857052432e-14 0.02
AB -1.0018544156095956e-13 0.02
AA -5.5994919088658986e-14 0.04
AA -1.9834777741105146e-13 -0.04
AB -1.990663919263896e-13 -0.04
AA -2.421848834735817e-13 -0.06
AB -6.014588766316818e-14 0.04
AA -3.176212717810068e-14 0.06
AB -3.402335942803299e-14 0.06
AB -2.4345594118762376e-13 -0.06
AA -2.0451993110069442e-14 0.08
AA -2.808728281187079e-13 -0.08
AB -2.785627285903315e-13 -0.08
AA -1.5054373017961525e-13 0.0
AB -1.464849009790021e-13 0.0
AB -2.2561168278681023e-14 0.08
AA -2.862992171393616e-15 0.12
AB -3.259891965405248e-13 -0.12
AA -3.2270579087930653e-13 -0.12
AB -6.566174322914133e-15 0.12
AA -2.2991255776945244e-15 0.14
AA -3.39286558430052e-13 -0.14
AB -3.4023665119146533e-13 -0.14
AA -3.500473241243528e-13 -0.16
AB -2.6810233872381145e-15 0.14
AB -3.4932690834872773e-13 -0.16
AB -1.0332434860596214e-15 0.16
AA -1.4004084435834465e-15 0.16
AA -3.573967401893122e-13 -0.18
AA -9.69534009254059e-16 0.18
AB -3.563677017083524e-13 -0.18
AA -1.3347720264152235e-14 0.1
AA -3.058550776396388e-13 -0.1
AB -1.0305838249719205e-15 0.18
AB -3.0573725936605374e-13 -0.1
AB -1.3034829320401655e-14 0.1
AA -3.656642274044547e-13 -0.22
AA -2.279704700554551e-16 0.22
AB -1.0181705369092012e-16 0.22
AB -3.652779082654721e-13 -0.22
AA -3.681371224079861e-13 -0.24
AA -8.54829308672561e-17 0.24
AB -3.6792180294840905e-13 -0.24
AB -7.036037804757677e-17 0.24
AA -3.6990952562193553e-13 -0.26
AA -5.042827500628732e-17 0.26
AB -3.692811905152272e-13 -0.26
AB -6.187699414986782e-17 0.26
AA -3.711319291948245e-13 -0.28
AA -1.145150007263155e-17 0.28
AB -3.704669759487229e-13 -0.28
AB -1.9538782665920986e-18 0.28
AA -3.626807317015409e-13 -0.2
AA 4.6879989767548365e-16 0.2
AB -3.6182418366825844e-13 -0.2
AB -3.7232034601525493e-13 -0.32
AA -3.7123479376786563e-13 -0.32
AB -2.899302902567132e-16 0.2
AB -3.7189611191591223e-13 -0.34
AA -3.73292666413391e-13 -0.34
AA -3.7361851270426073e-13 -0.36
AB -3.735377509030234e-13 -0.36
AB -3.737634141230596e-13 -0.38
AA -3.736953520735678e-13 -0.38
AB -3.718286157430362e-13 -0.3
AA -3.720665914314769e-13 -0.3
AA -2.322729970018077e-17 0.3
AB -1.0577237157681918e-17 0.3
AB -3.7425019955227083e-13 -0.42
AA -3.743709937462554e-13 -0.42
AA -3.74478487884786e-13 -0.44
AA -3.7453367196708026e-13 -0.46
AB -3.7438603887089997e-13 -0.44
AA -3.7488950557133683e-13 -0.48
AB -3.732720846771903e-13 -0.46
AB -3.750980377305549e-13 -0.48
AA -3.7416089227887044e-13 -0.4
AB -3.740995760053533e-13 -0.4
AA -3.743969432634316e-13 -0.5
AB -3.746486774471268e-13 -0.5
