Domain I Vapp
AA -4.349053944124576e-14 -0.02
AB -1.8586884404277995e-14 -0.02
AA -5.253754614875919e-14 -0.04
AA -5.833351876914418e-14 -0.06
AB -2.7520540823653653e-14 -0.06
AB -2.6312436230208002e-14 -0.04
AB -3.422338332540682e-14 -0.08
AA -6.397121075811459e-14 -0.12
AA -6.144872283452208e-14 -0.08
AA -6.447289256180701e-14 -0.14
AB -4.6488517534216657e-14 -0.12
AB -5.1194457536332715e-14 -0.14
AA -6.478828171035465e-14 -0.16
AB -5.4815318191841964e-14 -0.16
AA -6.506942255786972e-14 -0.18
AA -6.29309478779365e-14 -0.1
AB -4.056585275037907e-14 -0.1
AB -5.775958969672728e-14 -0.18
AB -6.131247092843615e-14 -0.22
AA -6.517375480479648e-14 -0.22
AA -6.540584831711016e-14 -0.24
AB -6.239520801396565e-14 -0.24
AB -6.337460020483243e-14 -0.26
AA -6.550583385141881e-14 -0.26
AB -6.387050007976363e-14 -0.28
AA -6.525465024540788e-14 -0.2
AA -6.552685559497855e-14 -0.28
AB -5.977407841719826e-14 -0.2
AA -6.562703168342561e-14 -0.32
AB -6.446648792243122e-14 -0.32
AB -6.499642037146304e-14 -0.34
AA -6.564023348404004e-14 -0.36
AA -6.561779571334949e-14 -0.34
AA -6.575792112276394e-14 -0.38
AB -6.519396825454814e-14 -0.36
AB -6.52990509059726e-14 -0.38
AA -6.558150218963094e-14 -0.3
AB -6.443494942187141e-14 -0.3
AA -6.571660544149687e-14 -0.42
AB -6.552242520797622e-14 -0.42
AA -6.553904025561682e-14 -0.44
AB -6.519101628959118e-14 -0.44
AA -6.553522402232497e-14 -0.46
AB -6.574157720453956e-14 -0.46
AA -6.571990981886664e-14 -0.48
AA -6.56760512935988e-14 -0.4
AB -6.541804406657314e-14 -0.4
AB -6.550826137548887e-14 -0.48
AA -2.749690007394741e-14 0.02
AB -6.560689443294249e-14 -0.5
AA -6.578396938497343e-14 -0.5
AA -1.677523264733883e-14 0.04
AB -4.954009235726056e-15 0.04
AB -6.78005931164988e-15 0.02
AB -3.06078670412821e-15 0.06
AA -8.056950079836382e-15 0.06
AA -4.995731396403013e-15 0.08
AB -1.8279503202232772e-15 0.08
AA -3.168518040889496e-14 0.0
AB -1.2474394444178115e-14 0.0
AA 4.0764230368990747e-17 0.12
AB -5.466472345036206e-16 0.12
AA -4.521223742030422e-16 0.14
AB -3.1473993181916756e-16 0.14
AB -1.5401479499595707e-16 0.16
AA -2.2637724439908165e-16 0.16
AA -1.1312946352600802e-16 0.18
AA -1.6348182679846727e-15 0.1
AB -4.589380611152383e-17 0.18
AB -2.2945975817347858e-17 0.22
AB -1.0792788283636266e-15 0.1
AA -2.1283710934294262e-17 0.22
AA -5.3446233890505595e-18 0.26
AA -1.1976292912169002e-17 0.24
AB -1.2475315210433795e-17 0.24
AB -7.524902862764518e-18 0.28
AB -7.867571381544633e-18 0.26
AA -1.4340903102105733e-18 0.28
AA -7.719335101361713e-20 0.3
AB -5.5457825760049415e-17 0.2
AA -5.3705470407703854e-17 0.2
