Domain I Vapp
AB -7.673138831995615e-14 -0.02
AA -9.677112972497406e-14 -0.02
AA -9.929700262406111e-14 -0.04
AA -1.1868028513128728e-13 -0.06
AB -1.191303168204481e-13 -0.06
AB -9.978020685405611e-14 -0.04
AA -1.503926596978157e-13 -0.12
AA -1.3329345661192573e-13 -0.08
AB -1.3348807191207837e-13 -0.08
AB -1.5475435885504266e-13 -0.14
AB -1.503306504183114e-13 -0.12
AA -1.5559931213065875e-13 -0.14
AB -1.572755354724879e-13 -0.16
AA -1.6006888136355192e-13 -0.18
AA -1.578423236581236e-13 -0.16
AA -1.4353235210980315e-13 -0.1
AB -1.4363097238224145e-13 -0.1
AB -1.5897297840703553e-13 -0.18
AA -1.6297299076823813e-13 -0.24
AA -1.622154105500279e-13 -0.22
AB -1.6134907027175455e-13 -0.22
AB -1.627279590426511e-13 -0.24
AA -1.6358649377892089e-13 -0.26
AB -1.6271352537346047e-13 -0.26
AA -1.6380624600421375e-13 -0.28
AA -1.6142046768066214e-13 -0.2
AB -1.634285065611589e-13 -0.28
AB -1.640781162288115e-13 -0.32
AA -1.642266438152562e-13 -0.32
AB -1.6055680267244663e-13 -0.2
AA -1.644631474043923e-13 -0.36
AB -1.6410155762711922e-13 -0.34
AA -1.63952821475892e-13 -0.34
AA -1.6445626663460966e-13 -0.38
AB -1.6426860365830823e-13 -0.38
AB -1.6443805993121373e-13 -0.36
AB -1.6369442664381557e-13 -0.3
AA -1.6420680530995458e-13 -0.42
AA -1.6400331617378554e-13 -0.3
AA -1.6493495614588984e-13 -0.44
AB -1.6432311525618878e-13 -0.42
AB -1.6461719396119168e-13 -0.44
AB -1.6473129924530724e-13 -0.46
AA -1.645960968062131e-13 -0.46
AA -1.6363395505241081e-13 -0.48
AB -1.643023729738388e-13 -0.4
AB -1.6391578250368813e-13 -0.48
AA -1.6445904699503852e-13 -0.4
AB -1.6451055248823084e-13 -0.5
AA -1.6455528351450468e-13 -0.5
AA -4.6406514409629e-14 0.02
AB -2.0842451932369815e-14 0.02
AB -3.2428634255810704e-14 0.04
AA -4.945883815473095e-15 0.04
AA -9.812251868474103e-15 0.08
AB -2.1345094661563868e-14 0.06
AA -1.0491704053272909e-14 0.06
AA -5.285629959533606e-14 0.0
AB -6.173802083884484e-15 0.08
AB -7.784446414175508e-14 0.0
AB -2.6775862031392784e-15 0.12
AA -2.9004274296878404e-15 0.12
AA -8.292463667244123e-16 0.14
AB -8.003319209256803e-16 0.14
AB -2.9306579372208277e-16 0.16
AA -5.093378615831444e-16 0.16
AA -4.331631681916946e-15 0.1
AA -2.826529204558137e-16 0.18
AB -2.801892674249376e-16 0.18
AB -4.7878317486806814e-15 0.1
AB -7.30485349411247e-17 0.22
AA -4.4992859303265644e-17 0.22
AA -1.850859996327909e-17 0.24
AA -1.7866175278782608e-17 0.26
AB -3.207749672094704e-17 0.24
AB 1.9745935211046213e-17 0.28
AB -2.224369617734575e-17 0.26
AA -1.5208750610282427e-17 0.28
AA -1.1710221394820075e-16 0.2
AA -8.605355497605442e-18 0.3
AB -1.3407154707398086e-16 0.2
