Domain I Vapp
AA -4.419879038560886e-14 -0.04
AA -3.456585758366993e-14 -0.02
AB -2.1535915502352556e-14 -0.02
AB -2.9277020358199084e-14 -0.04
AB -3.6870860090751936e-14 -0.06
AA -5.1084306405486985e-14 -0.06
AA -5.5978937883685925e-14 -0.08
AA -6.111893252234864e-14 -0.12
AB -4.360254087270784e-14 -0.08
AB -5.698649564648288e-14 -0.14
AA -6.24865258439805e-14 -0.14
AB -5.3518826194067784e-14 -0.12
AA -6.319463382894507e-14 -0.16
AA -6.399895254211944e-14 -0.18
AB -6.162667342720115e-14 -0.16
AA -5.912565581115366e-14 -0.1
AB -6.084505107002154e-14 -0.18
AB -4.9306476994934014e-14 -0.1
AB -6.300878347503862e-14 -0.22
AA -6.470066319740198e-14 -0.22
AA -6.498635221744105e-14 -0.24
AB -6.366402209555401e-14 -0.24
AA -6.517168007090936e-14 -0.26
AB -6.431597680862643e-14 -0.26
AA -6.446624439779649e-14 -0.2
AA -6.530132954221577e-14 -0.28
AB -6.453634138906094e-14 -0.28
AB -6.20887732852682e-14 -0.2
AB -6.517136171169132e-14 -0.32
AA -6.547443033832487e-14 -0.32
AA -6.556611995344555e-14 -0.34
AA -6.561304124031936e-14 -0.36
AB -6.527107083071354e-14 -0.34
AB -6.516697412916135e-14 -0.36
AA -6.56010116928072e-14 -0.38
AB -6.569800344675268e-14 -0.38
AA -6.574272307073953e-14 -0.42
AB -6.542251018133023e-14 -0.3
AA -6.516074170573099e-14 -0.3
AA -6.570812465917262e-14 -0.44
AB -6.558188044990373e-14 -0.44
AB -6.522934778182619e-14 -0.42
AA -6.571898257784241e-14 -0.46
AA -6.562426041918665e-14 -0.48
AB -6.573028817764101e-14 -0.46
AB -6.584320804073672e-14 -0.48
AB -6.53722261954047e-14 -0.4
AA -6.5724563885722e-14 -0.4
AB -6.571675640049981e-14 -0.5
AA -6.574104674317825e-14 -0.5
AA -1.5447579406537533e-14 0.02
AB -1.2493585114842767e-14 0.02
AB -7.731101877648238e-15 0.04
AA -8.121776095365515e-15 0.04
AA -4.190608089907719e-15 0.08
AB -4.685010523886853e-15 0.06
AA -5.977637666595814e-15 0.06
AB -1.8567453206794192e-14 0.0
AA -3.489558227693473e-14 0.0
AB -2.6572951148236167e-15 0.08
AA -3.7968464388407316e-16 0.14
AB -7.522592608326311e-16 0.12
AA -1.0160362075372146e-15 0.12
AB -3.8512362575367956e-16 0.14
AA 5.828908185247669e-17 0.16
AB -1.6534190864969736e-16 0.16
AA -1.6887959287588436e-15 0.1
AB -1.2412291266705385e-16 0.18
AA 3.5545191028688644e-17 0.18
AB -1.4745135904425864e-15 0.1
AB -2.8445850750075653e-17 0.22
AA -2.5860973930261434e-17 0.22
AA -1.3218047705342769e-17 0.24
AB -1.4989010145700915e-17 0.24
AA 6.810925637419359e-19 0.26
AB -6.385360987144436e-18 0.26
AA -5.1918492307087245e-18 0.28
AB -4.623714716641576e-18 0.28
AB -6.123522729827944e-17 0.2
AA -4.084508167761997e-18 0.3
AA -6.260135638961795e-17 0.2
