Domain I Vapp
AB -1.504953473664991e-13 -0.02
AA -1.801103184603507e-13 -0.04
AA -1.4594543931079483e-13 -0.02
AB -2.0918299041677892e-13 -0.06
AA -2.050554717199737e-13 -0.06
AB -1.8419110443668247e-13 -0.04
AB -2.2494841315718854e-13 -0.08
AA -2.423511663578545e-13 -0.12
AA -2.2237510405069226e-13 -0.08
AA -2.4823678117468443e-13 -0.14
AB -2.4403876657881466e-13 -0.12
AB -2.4893939009186725e-13 -0.14
AA -2.5222870691813594e-13 -0.16
AA -2.5496742414129267e-13 -0.18
AB -2.5303457022735977e-13 -0.16
AB -2.556755876280561e-13 -0.18
AA -2.343993181612163e-13 -0.1
AB -2.360978382421932e-13 -0.1
AB -2.594968769446103e-13 -0.22
AA -2.6069896613891226e-13 -0.24
AA -2.5907187683670467e-13 -0.22
AB -2.608162576957769e-13 -0.26
AA -2.6103810991272873e-13 -0.26
AB -2.601068897527728e-13 -0.24
AA -2.620096090722656e-13 -0.28
AA -2.575773490549756e-13 -0.2
AB -2.617111133754609e-13 -0.28
AB -2.574089100394778e-13 -0.2
AA -2.6210944108743547e-13 -0.32
AB -2.6244165926383987e-13 -0.32
AA -2.62809441208183e-13 -0.34
AA -2.6281788659097645e-13 -0.36
AB -2.6221091942643874e-13 -0.34
AB -2.6326475388774615e-13 -0.36
AB -2.634738452381106e-13 -0.38
AA -2.628478829023118e-13 -0.38
AA -2.631255750028997e-13 -0.42
AB -2.616739346064025e-13 -0.3
AA -2.621986895587926e-13 -0.3
AA -2.620518084594684e-13 -0.44
AB -2.6304611534338514e-13 -0.44
AB -2.631926009681099e-13 -0.42
AA -2.6333435946429e-13 -0.48
AA -2.6322018416600676e-13 -0.46
AB -2.629196455747378e-13 -0.46
AB -2.632165014128004e-13 -0.48
AA -2.634283072343049e-13 -0.4
AB -2.635695691705262e-13 -0.4
AA -6.784926620649766e-14 0.02
AA -2.6178641069770005e-13 -0.5
AB -2.632892877311027e-13 -0.5
AB -6.931001883271483e-14 0.02
AB -4.455954880767277e-14 0.04
AA -3.8804741574179757e-14 0.04
AB -4.442700343606989e-14 0.06
AA -4.3679971065918797e-14 0.06
AA -2.2030899613140666e-14 0.08
AA -1.0503125717250284e-13 0.0
AB -1.093972377413294e-13 0.0
AB -2.4858768462468073e-14 0.08
AB -3.768184053646838e-15 0.12
AA -4.478563545080697e-15 0.12
AA -1.6607044603552445e-15 0.14
AB -2.336784580064659e-15 0.14
AA -9.636661862001428e-16 0.16
AB -8.000550653805629e-16 0.16
AA -5.112046702264092e-16 0.18
AB -4.190919804390317e-16 0.18
AA -6.119144873536954e-15 0.1
AA -1.370804450916832e-16 0.22
AB -6.85195055968346e-17 0.22
AB -9.3233519895524e-15 0.1
AA -2.5409083323299767e-17 0.24
AB -4.702651703089956e-17 0.24
AA -1.702533247989421e-17 0.26
AB -3.6899386007354014e-17 0.26
AB -1.981736892611067e-17 0.28
AA -2.5037472369154244e-17 0.28
AA -2.865244680103937e-16 0.2
AB -2.1823643664055396e-16 0.2
AA -1.747225610287689e-17 0.3
