Domain I Vapp
AA -3.376707946712289e-14 -0.04
AA -2.5452529822332987e-14 -0.02
AB -3.036141157528203e-14 -0.02
AB -3.956956981911603e-14 -0.04
AA -4.171173437852778e-14 -0.06
AB -4.119574470359399e-14 -0.06
AB -4.761688589705748e-14 -0.08
AA -4.828201524701663e-14 -0.08
AA -5.664738439958365e-14 -0.12
AB -5.899541764616699e-14 -0.14
AB -5.6579723033756516e-14 -0.12
AA -5.928482994256906e-14 -0.14
AB -6.081760017584308e-14 -0.16
AA -6.223729101373819e-14 -0.18
AA -6.110149834424853e-14 -0.16
AB -6.211512894673882e-14 -0.18
AA -5.281725384861701e-14 -0.1
AB -5.2671605715858606e-14 -0.1
AB -6.366318437527297e-14 -0.22
AA -6.377906615349917e-14 -0.22
AA -6.439002171750334e-14 -0.24
AB -6.465684029614602e-14 -0.26
AB -6.410673447928649e-14 -0.24
AA -6.480706983444647e-14 -0.26
AA -6.402476816777017e-14 -0.28
AA -6.302533872003798e-14 -0.2
AB -6.492468899601148e-14 -0.28
AB -6.532375619399523e-14 -0.32
AB -6.307510914065675e-14 -0.2
AA -6.525032248800685e-14 -0.32
AA -6.546490383526937e-14 -0.34
AB -6.540366979900088e-14 -0.34
AA -6.526738608590053e-14 -0.36
AB 0.0 -0.38
AB -6.542123638123035e-14 -0.36
AA -6.568660539284409e-14 -0.38
AA 0.0 -0.3
AB -6.498422412332213e-14 -0.3
AA -6.507651981947292e-14 -0.42
AB -6.564411381395334e-14 -0.42
AA -6.571111185374e-14 -0.44
AB -6.549988328482419e-14 -0.44
AA -6.575026349899082e-14 -0.46
AA -6.579922661584663e-14 -0.48
AB -6.571899922726493e-14 -0.46
AB -6.566833787355381e-14 -0.48
AA -6.563750794951995e-14 -0.4
AB -6.556784442180293e-14 -0.4
AB -6.574815528759081e-14 -0.5
AA -1.3787675271194226e-14 0.02
AA -6.575977485547128e-14 -0.5
AB -8.088177766093168e-15 0.02
AB -8.855151544136348e-15 0.04
AA -7.760547075318042e-15 0.04
AB -5.702367129336308e-15 0.06
AA -5.783825728952447e-15 0.06
AA -3.2857689175999088e-15 0.08
AA -2.5136443720538833e-14 0.0
AB -2.4404250120235384e-14 0.0
AB -1.5324341475825454e-15 0.08
AA -9.969647352085887e-16 0.12
AB -9.494345349584804e-16 0.12
AA -3.993719184129348e-16 0.14
AA -8.81910042133113e-17 0.16
AB -2.860576923834801e-16 0.16
AB -4.493973540684212e-16 0.14
AB -1.0247358552154673e-16 0.18
AA -8.010444127848006e-17 0.18
AA -1.6748725469646972e-15 0.1
AB -1.887434733459427e-15 0.1
AA -2.7757669693862225e-17 0.22
AB -1.3682384690545284e-17 0.22
AA -1.0414518033468828e-17 0.24
AB -1.4271191135448192e-17 0.24
AA -4.452219314684559e-18 0.26
AB -7.197485734883571e-18 0.28
AB -9.968833454511372e-18 0.26
AA -5.483709466576119e-18 0.28
AA -6.467742609028387e-18 0.3
AA -3.000913431735784e-17 0.2
AB 4.761817895161077e-17 0.2
