Domain I Vapp
AB -1.2401941094898935e-13 -0.02
AA -1.8159607831673216e-13 -0.04
AA -1.479759774502577e-13 -0.02
AB -1.5868868702421277e-13 -0.04
AA -2.0636139101645925e-13 -0.06
AB -1.8770294409404002e-13 -0.06
AA -2.4246849530345737e-13 -0.12
AA -2.2290934883546643e-13 -0.08
AB -2.097266208115506e-13 -0.08
AB -2.361440868007488e-13 -0.12
AB -2.455687653484619e-13 -0.14
AA -2.4828148537203373e-13 -0.14
AB -2.494445420271518e-13 -0.16
AA -2.525267666950262e-13 -0.16
AA -2.5484105100866694e-13 -0.18
AB -2.5437373002433844e-13 -0.18
AA -2.3392670342081265e-13 -0.1
AB -2.2659383601252584e-13 -0.1
AA -2.5879657548867644e-13 -0.22
AA -2.5985624269152317e-13 -0.24
AB -2.5406609714558037e-13 -0.22
AB -2.598530983663509e-13 -0.24
AB -2.608982958292349e-13 -0.26
AA -2.6151802089663496e-13 -0.26
AB -2.612156944509395e-13 -0.28
AA -2.6111311745579345e-13 -0.28
AA -2.575659779182421e-13 -0.2
AA -2.6240951835390117e-13 -0.32
AB -2.620035184292818e-13 -0.32
AB -2.5680257742399523e-13 -0.2
AB -2.625404612264229e-13 -0.34
AA -2.6331351508042973e-13 -0.36
AA -2.6328367219121055e-13 -0.34
AB -2.6267984597610253e-13 -0.36
AA -2.624236798377143e-13 -0.38
AB -2.6235326114947074e-13 -0.38
AA -2.621143985305065e-13 -0.3
AB -2.619620894035284e-13 -0.3
AA -2.6317144973886185e-13 -0.42
AB -2.6311127979590535e-13 -0.44
AA -2.632405201507926e-13 -0.44
AB -2.6243346113146224e-13 -0.42
AA -2.6314767763882557e-13 -0.48
AA -2.6246762542925093e-13 -0.46
AB -2.623059797735385e-13 -0.46
AB -2.6321712070549987e-13 -0.48
AA -2.623173234498125e-13 -0.4
AB -2.6286297748752305e-13 -0.4
AA -6.855846592828595e-14 0.02
AB -2.633255984995744e-13 -0.5
AA -2.6272171798745155e-13 -0.5
AB -9.111787294856318e-14 0.02
AA -6.724933159896585e-14 0.04
AB -5.95264451120671e-14 0.04
AB -3.0610177669065165e-14 0.06
AA -1.7118446076442076e-14 0.08
AA -4.57628340565039e-14 0.06
AB -8.821512204719599e-14 0.0
AB -8.342521874403662e-15 0.08
AA -1.074653931731418e-13 0.0
AA -1.7545769857614905e-15 0.14
AA -4.662833243351086e-15 0.12
AB -4.839033997963739e-15 0.12
AB -8.382160249930574e-16 0.16
AB -1.6693815466812687e-15 0.14
AA -1.2817381206125617e-15 0.16
AA -5.006736322482153e-16 0.18
AA -1.0237572126545618e-14 0.1
AB -3.0353225225509617e-16 0.18
AA 9.82288103505349e-17 0.22
AB -1.1431854081336773e-16 0.22
AB -1.480516536141217e-15 0.1
AA -6.33047971251364e-17 0.24
AB -5.873058825445953e-17 0.24
AA -1.1659750253477846e-17 0.26
AB -3.937513795104927e-17 0.26
AB -1.8859000248407743e-17 0.28
AA -2.8289234056009674e-17 0.28
AA -2.4658957679580773e-17 0.2
AA -2.0323822918292113e-17 0.3
AB -1.663257571671575e-16 0.2
