Domain I Vapp
AB -1.8524969501295065e-13 -0.02
AA -8.464399506091974e-14 0.02
AA -1.831409732886871e-13 -0.02
AB -8.566851408477983e-14 0.02
AA -4.8337656182715936e-14 0.04
AA -2.2643353161323106e-13 -0.04
AB -2.282627066516612e-13 -0.04
AB -4.458424620368621e-14 0.04
AA -2.582534768783709e-13 -0.06
AA -5.642465508236545e-14 0.06
AB -5.449993058626347e-14 0.06
AB -2.603368745193545e-13 -0.06
AA -1.697784276049757e-14 0.08
AB -2.8181295553273957e-13 -0.08
AA -2.8013256520467775e-13 -0.08
AB -2.5329610054754178e-14 0.08
AA -1.325572115104304e-13 0.0
AB -1.3420040862403474e-13 0.0
AA -6.831885208837457e-15 0.12
AB -3.060060261183118e-13 -0.12
AA -3.05169297664229e-13 -0.12
AA -3.1185413791571273e-13 -0.14
AB -7.940668478159824e-15 0.12
AA -2.9259987158650586e-15 0.14
AB -3.127264985936176e-13 -0.14
AB -2.5505773618547727e-15 0.14
AA -3.1727985663655624e-13 -0.16
AB -1.029806670514985e-15 0.16
AB -3.1741411487332497e-13 -0.16
AA -9.594206727162715e-16 0.16
AA -3.2085222179125504e-13 -0.18
AB -3.21152438488683e-13 -0.18
AA -6.871273665168363e-16 0.18
AA -2.952935474025724e-13 -0.1
AB -6.29654056032767e-16 0.18
AA -1.0646559118075377e-14 0.1
AA -3.243944048256862e-13 -0.22
AB -2.967974397360449e-13 -0.1
AB -1.3719369536014289e-14 0.1
AB -3.24522938996388e-13 -0.22
AB -1.6955459808665268e-16 0.22
AA -1.0175835496331465e-16 0.22
AA -3.2602221533548626e-13 -0.24
AB -3.261827671040512e-13 -0.24
AA -8.82923773170546e-17 0.24
AA -3.2699938029971883e-13 -0.26
AB -1.1207663960178625e-17 0.24
AA -3.618386141030434e-17 0.26
AB -4.913909660153408e-17 0.26
AA -3.2748519583712477e-13 -0.28
AB -3.2670620118379073e-13 -0.26
AA -2.8914740165639054e-17 0.28
AB -3.279204451177215e-13 -0.28
AB -2.4471635079534107e-17 0.28
AA -2.0936296472439515e-16 0.2
AB -3.233955981570028e-13 -0.2
AA -3.230555538625972e-13 -0.2
AB -3.277963540829684e-13 -0.32
AA -3.27609182293162e-13 -0.32
AB -3.4308729904641987e-16 0.2
AA -3.283875646274892e-13 -0.34
AB -3.2795619022483605e-13 -0.34
AA -3.2857332274011155e-13 -0.36
AA -3.28836227618825e-13 -0.38
AB -3.2843688746610774e-13 -0.36
AB -3.287659665990554e-13 -0.38
AA -3.2783150867158406e-13 -0.3
AA -2.2305097153711273e-17 0.3
AB -3.27792948416265e-13 -0.3
AB -1.0931050516532992e-17 0.3
AA -3.2896551090618603e-13 -0.42
AB -3.2891356057495507e-13 -0.42
AA -3.2892615893638566e-13 -0.46
AA -3.295622302345505e-13 -0.44
AB -3.290095798765091e-13 -0.44
AB -3.292709682234525e-13 -0.46
AB -3.270842305266399e-13 -0.48
AA -3.2904332787927877e-13 -0.48
AB -3.288027767622559e-13 -0.4
AA -3.2939883810249846e-13 -0.5
AA -3.288323480261361e-13 -0.4
AB -3.290693989835823e-13 -0.5
