Domain I Vapp
AA -2.1329826346788282e-13 -0.02
AA -1.514584319605468e-13 0.02
AB -1.3065094773322116e-13 -0.02
AB -5.80085166419738e-14 0.02
AA -1.2700222223314854e-13 0.04
AA -2.5281713976375775e-13 -0.04
AA -2.821619647628815e-13 -0.06
AB -1.395367594657395e-13 -0.04
AB -4.016375913742087e-14 0.04
AA -5.4698783159256055e-14 0.06
AB -2.6135802522664142e-14 0.06
AB -1.7585838516672084e-13 -0.06
AA -2.2157330705118443e-14 0.08
AA -2.996017298390712e-13 -0.08
AB -2.1380884814057537e-13 -0.08
AB -1.5972625436651002e-14 0.08
AB -9.746567195174705e-14 0.0
AA -1.6383258131560076e-13 0.0
AA -3.266552795100993e-13 -0.12
AA -7.426060087399369e-15 0.12
AB -2.7681900613129333e-13 -0.12
AA -4.6835001567695496e-15 0.14
AA -3.358362351360157e-13 -0.14
AB -1.895097605084204e-15 0.12
AB -2.995504440058013e-13 -0.14
AA -3.433298549528068e-13 -0.16
AB -1.6429458863154448e-15 0.14
AA -1.8245162785815344e-15 0.16
AB -3.190361136475372e-13 -0.16
AB -1.6601785161777821e-15 0.16
AB -3.330762919820998e-13 -0.18
AA -1.3185412331808684e-17 0.18
AA -3.4959500719376733e-13 -0.18
AB -7.431382413054131e-16 0.18
AA -3.15748237042846e-13 -0.1
AA -7.681717948840037e-15 0.1
AB -2.471061074627493e-13 -0.1
AB -4.0301443396648505e-15 0.1
AA -3.6016404076617734e-13 -0.22
AB -3.515552657236692e-13 -0.22
AB -1.3368240985307132e-16 0.22
AA -1.4123780009111282e-16 0.22
AA -3.614576030735287e-13 -0.24
AA -1.2353019961865603e-16 0.24
AB -3.577750080945737e-13 -0.24
AA -6.002611889916808e-17 0.26
AB -7.180904243873615e-17 0.24
AA -3.654532462862309e-13 -0.26
AA -3.668237974019802e-13 -0.28
AB -3.190571813937884e-18 0.26
AB -3.621667255594112e-13 -0.26
AA -4.0336994274993685e-17 0.28
AB -3.3571536536103213e-17 0.28
AB -3.652996536000661e-13 -0.28
AA -3.546141015829037e-13 -0.2
AB -3.431561249263705e-13 -0.2
AA 2.221978803910949e-17 0.2
AB -3.7107847268442324e-13 -0.32
AB -2.8119914289102107e-16 0.2
AA -3.7038579685623253e-13 -0.32
AA -3.721601442490987e-13 -0.36
AB -3.707934527864937e-13 -0.34
AA -3.715425214309123e-13 -0.34
AB -3.7171757776491064e-13 -0.36
AB -3.7246823411153067e-13 -0.38
AA -3.728647869384453e-13 -0.38
AB -3.6762593268815865e-13 -0.3
AA -3.6923259406374997e-13 -0.3
AA -2.898649321216213e-17 0.3
AA -3.730438810421364e-13 -0.42
AB -2.9474627635154614e-17 0.3
AB -3.7281460433589643e-13 -0.42
AA -3.75314468229113e-13 -0.46
AB -3.737031232361369e-13 -0.44
AA -3.740484205415794e-13 -0.44
AB -3.7342013816898673e-13 -0.46
AA -3.742749406777614e-13 -0.48
AB -3.748623761342096e-13 -0.48
AA -3.72765908150797e-13 -0.4
AA -3.73805049565542e-13 -0.5
AB -3.730100661276234e-13 -0.4
AB -3.743699565179558e-13 -0.5
