Domain I Vapp
AA -3.6932482609475445e-14 0.02
AB -9.887105514898006e-14 -0.02
AA -8.891593970336749e-14 -0.02
AB -4.577391394139592e-14 0.02
AA -1.1040897975494826e-13 -0.04
AA -2.5316448102756073e-14 0.04
AB -3.523410065535235e-14 0.04
AA -1.2649282937951266e-13 -0.06
AB -1.2140422457039507e-13 -0.04
AB -1.3681354524905014e-13 -0.06
AA -1.2035096038471607e-14 0.06
AB -2.4470184223799303e-14 0.06
AA -1.377290665760012e-13 -0.08
AA -9.291280199358571e-15 0.08
AB -1.4470676707986148e-13 -0.08
AB -7.19303552764233e-14 0.0
AA -6.383587859779256e-14 0.0
AB -8.514856332060192e-15 0.08
AB -1.5517862835093662e-13 -0.12
AA -2.589454045299274e-15 0.12
AA -1.5044735507972148e-13 -0.12
AB 2.373924499320908e-16 0.12
AA -1.5395182755769222e-13 -0.14
AA -1.5727277868672894e-15 0.14
AB -1.5701015760360877e-13 -0.14
AB -1.1411736662936087e-15 0.14
AA -1.5604095985573404e-13 -0.16
AB -1.5913646353868918e-13 -0.16
AB -7.30252169989819e-16 0.16
AA -6.523646340844629e-16 0.16
AA -3.026913171495284e-16 0.18
AA -1.5866004124357136e-13 -0.18
AB -1.6059842752835743e-13 -0.18
AA -4.899139559159103e-15 0.1
AA -1.4472462827112302e-13 -0.1
AB -2.0217362792672292e-16 0.18
AB -1.5145402775651172e-13 -0.1
AA -1.6066935666084012e-13 -0.22
AB -2.9711841966839446e-15 0.1
AA -8.493472435974165e-17 0.22
AB -1.6168733387155325e-13 -0.22
AB 7.025768190451929e-18 0.22
AA -1.6204013352785978e-13 -0.24
AA -1.8958681228004796e-17 0.24
AB -1.6265612307149004e-13 -0.24
AA -1.6268167665137206e-13 -0.26
AA -2.461260994383496e-17 0.26
AB -3.258225699221825e-17 0.24
AA -1.627606960633555e-13 -0.28
AB -7.914196362047052e-18 0.26
AB -1.6299670455742648e-13 -0.26
AA -1.059431319030607e-17 0.28
AB -1.244918442994815e-17 0.28
AB -1.6247537678107398e-13 -0.28
AA -1.597962244453623e-13 -0.2
AB -1.612729441750263e-13 -0.2
AA -1.7754336668917214e-16 0.2
AA -1.6380931151450507e-13 -0.32
AB -1.278430790000059e-16 0.2
AB -1.6387815748974313e-13 -0.32
AA -1.6412493086979778e-13 -0.36
AB -1.6398936687992705e-13 -0.34
AA -1.637198079827709e-13 -0.34
AA -1.6333568251675168e-13 -0.38
AB -1.6503983641209405e-13 -0.36
AB -1.6308554355362353e-13 -0.38
AB -1.633713167925303e-13 -0.3
AA -1.0796698050886867e-17 0.3
AA -1.6349026027733827e-13 -0.3
AB -7.384693301642236e-18 0.3
AB -1.646099343389535e-13 -0.42
AA -1.6465328276223226e-13 -0.42
AA -1.6365550437811656e-13 -0.44
AA -1.6449519172842428e-13 -0.46
AB -1.643603690308414e-13 -0.44
AA -1.6452851306487316e-13 -0.48
AB -1.645580609926657e-13 -0.48
AB -1.6393406640161431e-13 -0.46
AA -1.6455736494063638e-13 -0.5
AB -1.641977431635387e-13 -0.4
AA -1.6421849673320865e-13 -0.4
AB -1.6455622357943438e-13 -0.5
