Domain I Vapp
AA -4.406608968536789e-14 0.02
AA -9.504750395857699e-14 -0.02
AB -6.678501391949765e-14 -0.02
AB -3.786703024403069e-14 0.02
AA -2.5035740571428253e-14 0.04
AA -1.1613627293907788e-13 -0.04
AA -1.3081175729249999e-13 -0.06
AB -8.717136862450204e-14 -0.04
AB -2.7579017605823363e-14 0.04
AB -1.0572213724416764e-13 -0.06
AA -2.4646263954786278e-14 0.06
AB -1.624193747388419e-14 0.06
AA -1.677571893775658e-14 0.08
AB -1.207631900114803e-13 -0.08
AA -1.402616199400982e-13 -0.08
AB -4.7719440102888626e-14 0.0
AA -6.944845088671883e-14 0.0
AB -1.0024332160067407e-14 0.08
AA -6.32591094777901e-16 0.12
AA -1.5108234677077945e-13 -0.12
AB -1.4148651812561141e-13 -0.12
AA -1.542793075234938e-13 -0.14
AA -1.1859842169453146e-15 0.14
AB -2.113548752984185e-15 0.12
AB -1.5231020939023236e-15 0.14
AB -1.479894048977524e-13 -0.14
AA -1.5673365609277545e-13 -0.16
AB -1.5276084987761507e-13 -0.16
AA 2.7990201007588463e-16 0.16
AB -6.807202094103837e-16 0.16
AB -1.5583659169225193e-13 -0.18
AA -1.5835181700989683e-13 -0.18
AA -1.863375730918136e-16 0.18
AA -1.187942829997373e-15 0.1
AA -1.464115649894242e-13 -0.1
AB -2.9612665625683326e-16 0.18
AB -4.569350575525232e-15 0.1
AB -1.321360993768681e-13 -0.1
AA -1.6108607096514278e-13 -0.22
AA -7.069272530341649e-17 0.22
AB -1.5992220906468015e-13 -0.22
AB -6.166188908940685e-17 0.22
AB -1.6118098617448469e-13 -0.24
AA -4.072068964822147e-17 0.24
AA -1.6204710995579656e-13 -0.24
AB -1.061977078324287e-17 0.24
AA -2.5949633462007002e-17 0.26
AA -1.6253458964198547e-13 -0.26
AB -5.784160029809227e-18 0.26
AA -1.6307698664269253e-13 -0.28
AB -1.6200487084813105e-13 -0.26
AB -1.5909107555759123e-17 0.28
AA -1.600787440322801e-17 0.28
AB -1.6249380856509943e-13 -0.28
AA -1.6016020419237102e-13 -0.2
AB -1.5821537856936155e-13 -0.2
AA -1.6738384269686122e-16 0.2
AB -1.5001442899420818e-16 0.2
AB -1.6315949338933284e-13 -0.32
AA -1.6369100209689826e-13 -0.32
AA -1.6400141694776463e-13 -0.34
AB -1.6364330843203555e-13 -0.34
AA -1.6390218742333662e-13 -0.36
AA -1.6407798149719005e-13 -0.38
AB -1.640967600688928e-13 -0.38
AB -1.6395029788420515e-13 -0.36
AA 3.1483242004326574e-18 0.3
AA -1.633819803582667e-13 -0.3
AB -1.6316042650670035e-13 -0.3
AB -1.3650743476121982e-17 0.3
AB -1.642737048177181e-13 -0.42
AA -1.6435123904047761e-13 -0.42
AA -1.6443161451111253e-13 -0.46
AB -1.643146406895587e-13 -0.44
AA -1.6415854066757438e-13 -0.44
AB -1.6425192082723715e-13 -0.46
AB -1.6442776057794743e-13 -0.48
AA -1.6447375320236312e-13 -0.48
AA -1.6441985589989584e-13 -0.4
AB -1.639068825685412e-13 -0.4
AA -1.6409413399672653e-13 -0.5
AB -1.6418935849058634e-13 -0.5
