idx I Vapp Center(x) Center(y)
0 -2.678977412426244e-15 0.0 0.0 0.0
1 -2.6439364327441725e-15 0.0 1.2767357918009477 -0.7371237530803071
2 -2.664283806505118e-15 0.0 2.5534715836018953 -1.4742475061606142
3 -2.68421695202594e-15 0.0 3.8302073754028427 -2.2113712592409214
4 -2.661967388183548e-15 0.0 5.106943167203791 -2.9484950123212283
5 -2.6628637487295842e-15 0.0 6.383678959004738 -3.6856187654015358
6 -2.6784786393095033e-15 0.0 7.6604147508056855 -4.422742518481843
7 -2.6575424316957292e-15 0.0 8.937150542606634 -5.159866271562151
8 -2.658261394790751e-15 0.0 10.213886334407581 -5.896990024642457
9 -2.6781752393945316e-15 0.0 11.49062212620853 -6.634113777722764
10 -2.6758590200775733e-15 0.0 12.767357918009475 -7.3712375308030715
11 -2.6601695313809394e-15 0.0 14.044093709810422 -8.108361283883378
12 -2.6605566407676246e-15 0.0 15.320829501611371 -8.845485036963685
13 -2.682613886162397e-15 0.0 16.597565293412316 -9.582608790043992
14 -2.6790408761695795e-15 0.0 17.87430108521327 -10.319732543124301
15 -2.6920701327193285e-15 0.0 19.151036877014214 -11.056856296204607
16 -2.6849992882184276e-15 0.0 20.427772668815162 -11.793980049284913
17 -2.621324906313329e-15 0.0 21.70450846061611 -12.531103802365221
18 -2.6461590527718598e-15 0.0 22.98124425241706 -13.268227555445527
19 -2.648992959494844e-15 0.0 24.257980044218 -14.005351308525835
20 -2.5771604012638098e-15 0.0 25.53471583601895 -14.742475061606143
21 -2.6413295055459832e-15 0.0 26.8114516278199 -15.47959881468645
22 -2.6366528282204006e-15 0.0 28.088187419620844 -16.216722567766755
23 -2.6869962946553754e-15 0.0 29.364923211421797 -16.953846320847063
24 -2.6702666980380182e-15 0.0 30.641659003222742 -17.69097007392737
25 -2.668962253994146e-15 0.0 31.91839479502369 -18.42809382700768
26 -2.693443920177701e-15 0.0 33.19513058682463 -19.165217580087983
27 -2.6635092147126534e-15 0.0 34.471866378625585 -19.90234133316829
28 -2.6861331367581496e-15 0.0 35.74860217042654 -20.639465086248602
29 -2.686306066937054e-15 0.0 37.025337962227475 -21.376588839328907
30 -2.667681981824954e-15 0.0 38.30207375402843 -22.113712592409215
31 -2.6729769765034798e-15 0.0 39.57880954582937 -22.850836345489522
32 -2.6744473794462587e-15 0.0 40.855545337630325 -23.587960098569827
33 -2.6820166783987338e-15 0.0 42.13228112943127 -24.325083851650135
34 -2.6686159785163277e-15 0.0 43.40901692123222 -25.062207604730443
35 -2.678417125447991e-15 0.0 44.68575271303316 -25.799331357810747
36 -2.6877295570951815e-15 0.0 45.96248850483412 -26.536455110891055
37 -2.6803037606205096e-15 0.0 47.239224296635065 -27.273578863971366
38 -2.618001657154762e-15 0.0 48.515960088436 -28.01070261705167
39 -2.681821792351569e-15 0.0 49.792695880236955 -28.74782637013198
40 -2.6486378972079013e-15 0.0 51.0694316720379 -29.484950123212286
41 -2.6721231643243883e-15 0.0 52.34616746383885 -30.22207387629259
42 -2.669202175471809e-15 0.0 53.6229032556398 -30.9591976293729
43 -2.6610366219935558e-15 0.0 54.89963904744075 -31.696321382453206
