Domain I Vapp
AB -6.703471882754778e-14 -0.02
AA -5.967455602897447e-14 0.02
AA -7.621472641714734e-14 -0.02
AB -4.882082932830324e-14 0.02
AA -9.715458144314872e-14 -0.04
AA -3.8262456669203503e-14 0.04
AB -8.74359400686368e-14 -0.04
AA -1.1330919700044618e-13 -0.06
AB -2.3461931225168785e-14 0.04
AA -2.3421413326954927e-14 0.06
AB -1.841327749456063e-14 0.06
AB -1.0545752949915788e-13 -0.06
AA -1.2703444390979589e-13 -0.08
AB -1.2066113259414258e-13 -0.08
AA -1.1704000084104834e-14 0.08
AB -1.0769351689346913e-14 0.08
AB -5.434751437856237e-14 0.0
AA -5.802205292652017e-14 0.0
AA -1.4388953753186863e-13 -0.12
AB -1.4148782419561643e-13 -0.12
AA -3.1431149769935334e-15 0.12
AB -1.6797833473875822e-15 0.12
AA -8.361257570624339e-16 0.14
AA -1.4966609890794693e-13 -0.14
AB -1.482545728311757e-13 -0.14
AB -8.582064030376509e-16 0.14
AA -1.5349376445048134e-13 -0.16
AA -6.576170901935247e-16 0.16
AB -1.5218141527020936e-13 -0.16
AB -5.829446273310647e-16 0.16
AA -1.5644871626290907e-13 -0.18
AA -8.274978810943488e-17 0.18
AB -1.5587111327559151e-13 -0.18
AA -4.238275719074602e-15 0.1
AB -2.3006326647701654e-17 0.18
AA -1.3727603505065947e-13 -0.1
AB -1.4759709189773878e-15 0.1
AA -1.601175399695323e-13 -0.22
AB -1.325864907359341e-13 -0.1
AA -5.966806002046216e-17 0.22
AB -5.47743211919737e-17 0.22
AB -1.603609390444648e-13 -0.22
AA -1.610511446374955e-13 -0.24
AA -2.5574842523221337e-17 0.24
AB -1.6104353772799634e-13 -0.24
AB -4.225503217332411e-17 0.24
AA -1.6202798979257473e-13 -0.26
AA -2.0504942627748537e-17 0.26
AB -1.6222496395996767e-13 -0.26
AA -1.6271995954581539e-13 -0.28
AB -1.396062808542647e-17 0.26
AA -1.294687919472957e-17 0.28
AB -1.688877164955386e-17 0.28
AB -1.6263716152916865e-13 -0.28
AA -1.583283245499572e-13 -0.2
AB -1.5823536702505765e-13 -0.2
AA -1.5227956664605973e-16 0.2
AB -1.447476333611498e-16 0.2
AA -1.6342054097041395e-13 -0.32
AB -1.6345789595326946e-13 -0.32
AA -1.6431640002459786e-13 -0.34
AB -1.6334988768436777e-13 -0.34
AA -1.6450567831727365e-13 -0.36
AB -1.6395105056583988e-13 -0.36
AB -1.6396230005754467e-13 -0.38
AA -1.641830956894341e-13 -0.38
AA -8.264200202584734e-18 0.3
AB -1.6305829662715618e-13 -0.3
AA -1.634988514147641e-13 -0.3
AB -1.349997800673175e-17 0.3
AB -1.6428130777847768e-13 -0.42
AA -1.6428820397590732e-13 -0.42
AA -1.6374875034520093e-13 -0.44
AA -1.6439886221319596e-13 -0.46
AB -1.6397893656149008e-13 -0.44
AB -1.6443661884487888e-13 -0.48
AA -1.6442905605927484e-13 -0.48
AB -1.644897373345197e-13 -0.46
AA -1.6443124888907155e-13 -0.5
AB -1.630196849815127e-13 -0.4
AA -1.6408429634798094e-13 -0.4
AB -1.6455018352727878e-13 -0.5
