Domain I Vapp
AB -1.9837113692344352e-13 -0.02
AA -8.138729020011472e-14 0.02
AA -1.7827042549506404e-13 -0.02
AB -9.139927356348389e-14 0.02
AA -4.6214419085316524e-14 0.04
AA -2.2025304220163294e-13 -0.04
AA -2.5339772722814286e-13 -0.06
AB -2.4276760140697567e-13 -0.04
AB -5.155240410258832e-14 0.04
AA -4.231879051598655e-14 0.06
AB -2.7375277231960135e-13 -0.06
AB -2.6576504414334934e-14 0.06
AA -2.751570970986302e-13 -0.08
AB -2.9278719815852264e-13 -0.08
AA -2.5447330874410374e-14 0.08
AB -4.206474335204052e-15 0.08
AB -1.4381926489463685e-13 0.0
AA -1.2764132771021563e-13 0.0
AA -3.003006463051746e-13 -0.12
AA -2.9270142270077187e-15 0.12
AB -3.1028398171437997e-13 -0.12
AB -1.8187694812046922e-15 0.12
AA -3.080459311705751e-13 -0.14
AA -2.1709726126655702e-15 0.14
AA -3.137768104509059e-13 -0.16
AB -2.3158345394418923e-15 0.14
AB -3.1504550068568803e-13 -0.14
AB -3.181420179700559e-13 -0.16
AB -1.1392414868742076e-15 0.16
AA 3.0244539318179124e-16 0.16
AB -3.209718027885629e-13 -0.18
AA -3.176334819921895e-13 -0.18
AA -3.8476137905819904e-16 0.18
AB 6.589339612084747e-16 0.18
AA -1.039224784981332e-14 0.1
AA -2.902147532381424e-13 -0.1
AB -3.0308592890909416e-13 -0.1
AA -3.2216561409328196e-13 -0.22
AB -1.1699888055251964e-14 0.1
AB -3.241428263065288e-13 -0.22
AB -1.592252033496419e-16 0.22
AA -1.4725480360330266e-16 0.22
AB -3.2542655602840343e-13 -0.24
AA 2.4418342197649904e-17 0.24
AA -3.234010663425644e-13 -0.24
AA -3.248030726153841e-13 -0.26
AA -5.484593114571566e-17 0.26
AB -6.163365570442945e-17 0.24
AA -3.2531383166276635e-13 -0.28
AB -3.2562027594521287e-13 -0.26
AB -2.6457676169995146e-17 0.26
AA -2.6976805370553958e-17 0.28
AB -3.0313606595674514e-17 0.28
AB -3.2678481644049083e-13 -0.28
AA -3.2005848393888223e-13 -0.2
AA 1.2138804990245552e-16 0.2
AB -3.227471810556151e-13 -0.2
AB -3.3247163897567467e-16 0.2
AA -3.2753523947251225e-13 -0.32
AB -3.2697452364126775e-13 -0.32
AA -3.2823082662170766e-13 -0.36
AA -3.284594112024203e-13 -0.34
AB -3.273950633743341e-13 -0.34
AB -3.284795220279169e-13 -0.38
AB -3.280293685546228e-13 -0.36
AA -3.282847223467923e-13 -0.38
AA -9.303081862353535e-18 0.3
AA -3.2747445427129907e-13 -0.3
AB -3.273581677559802e-13 -0.3
AA -3.2878811400598023e-13 -0.42
AB -3.3037969033564266e-13 -0.42
AB -2.7801779849079905e-17 0.3
AA -3.2863084131029376e-13 -0.44
AA -3.2911027030730574e-13 -0.46
AB -3.2884560512505097e-13 -0.44
AB -3.277514225929706e-13 -0.46
AA -3.2906503919866925e-13 -0.48
AB -3.2892810806244164e-13 -0.48
AA -3.2859734553823975e-13 -0.4
AA -3.2895598327565667e-13 -0.5
AB -3.2858583955400925e-13 -0.4
AB -3.2796779288281246e-13 -0.5
