Domain I Vapp
AA -2.0570609173001675e-13 -0.02
AB -2.0383340429008662e-13 -0.02
AA -9.500293311288661e-14 0.02
AA -5.355477835133082e-14 0.04
AA -2.505778723909486e-13 -0.04
AB -9.439510577842778e-14 0.02
AB -2.49005200703519e-13 -0.04
AA -2.7958365005961056e-13 -0.06
AB -5.329050452641731e-14 0.04
AB -6.260144889057547e-14 0.06
AA -5.977314785987834e-14 0.06
AB -2.784941643028922e-13 -0.06
AA -1.289687622449221e-14 0.08
AA -2.970338170651842e-13 -0.08
AB -2.9669254645277547e-13 -0.08
AA -1.4968411693085003e-13 0.0
AB -1.483065812649112e-13 0.0
AB 1.910916329602541e-14 0.08
AB -3.139469103530474e-13 -0.12
AA -3.139488059214546e-13 -0.12
AA -5.772610523721372e-15 0.12
AA -1.6286399926988288e-15 0.14
AB -3.0045273531024136e-15 0.12
AA -3.1798581179193874e-13 -0.14
AB -3.168242830586657e-13 -0.14
AA -3.2109329075986546e-13 -0.16
AB -2.226412822230864e-15 0.14
AB -3.215645368364692e-13 -0.16
AA -6.441619633127885e-16 0.16
AB -1.2602189817875819e-15 0.16
AA -5.922413280490856e-16 0.18
AB -3.234921463369118e-13 -0.18
AA -3.225246035611847e-13 -0.18
AB -6.810267746999936e-16 0.18
AA -1.2866439182389207e-14 0.1
AA -3.077219047711212e-13 -0.1
AB -3.07312052795352e-13 -0.1
AA -3.255928366350083e-13 -0.22
AB -1.4151783036516169e-14 0.1
AB -2.606891386921731e-17 0.22
AA -1.2529622650457207e-16 0.22
AB -3.2522746209779157e-13 -0.22
AA -3.2635915610863325e-13 -0.24
AA -4.706464816960738e-17 0.24
AB -3.269453919331012e-13 -0.24
AA -3.188439393615522e-17 0.26
AB -5.489594856129991e-18 0.24
AA -3.2710442546639433e-13 -0.26
AB -3.316658067261238e-17 0.26
AA -3.2770111946058177e-13 -0.28
AB -3.2745040103269063e-13 -0.26
AA -3.34606280479336e-17 0.28
AB -3.280085416529137e-13 -0.28
AB -3.763357969767874e-17 0.28
AA -3.240507960065082e-13 -0.2
AB -3.248916775493846e-13 -0.2
AA -3.3276040734143174e-16 0.2
AB -3.2704744341487583e-13 -0.32
AB -2.0631173340868816e-16 0.2
AA -3.2817116854819547e-13 -0.32
AA -3.2889130321497035e-13 -0.36
AB -3.288163633218834e-13 -0.34
AA -3.2853219700010533e-13 -0.34
AB -3.291292298330009e-13 -0.38
AA -3.2885295429163394e-13 -0.38
AB -3.2885033253379254e-13 -0.36
AB -3.2843443958243737e-13 -0.3
AA -2.560827598537709e-17 0.3
AA -3.281317241013953e-13 -0.3
AB 3.3058044490336304e-18 0.3
AA -3.2822400993085566e-13 -0.42
AB -3.2903101203846264e-13 -0.42
AB -3.2867393525077465e-13 -0.44
AA -3.277158044720167e-13 -0.44
AA -3.290708431576878e-13 -0.46
AB -3.291943935485005e-13 -0.46
AB -3.2866087725771803e-13 -0.48
AA -3.2898492071435094e-13 -0.48
AB -3.287626978923542e-13 -0.4
AA -3.2696335307878105e-13 -0.5
AA -3.2765375757155504e-13 -0.4
AB -3.292043593230683e-13 -0.5
