Domain I Vapp
AB -2.617905320912505e-14 -0.02
AA -4.895068949679253e-14 -0.04
AA -5.023522677851491e-14 -0.02
AA -5.5371627792768524e-14 -0.06
AB -2.857977148342271e-14 -0.04
AB -3.614600592731738e-14 -0.06
AA -6.29465048371999e-14 -0.12
AB -4.3389295947733515e-14 -0.08
AA -4.8942814632475954e-14 -0.08
AB -5.619992419142948e-14 -0.14
AA -6.395694556718683e-14 -0.14
AB -5.3013677843996104e-14 -0.12
AA -6.481912457113858e-14 -0.16
AA -6.482586845763053e-14 -0.18
AB -5.877356272903534e-14 -0.16
AB -6.063273445793476e-14 -0.18
AB -4.855487276231805e-14 -0.1
AA -6.896539759950345e-14 -0.1
AB -6.295137018811988e-14 -0.22
AA -6.5213442650153e-14 -0.22
AA -6.5251596549744e-14 -0.24
AB -6.330376373774787e-14 -0.24
AA -6.536757342254504e-14 -0.26
AB -6.41971812363287e-14 -0.26
AB -6.458630464254301e-14 -0.28
AA -6.492927571479362e-14 -0.2
AA -6.54353747452019e-14 -0.28
AB -6.507641973363449e-14 -0.32
AB -6.192018470015384e-14 -0.2
AA -6.571121106338677e-14 -0.32
AA -6.56397373973798e-14 -0.36
AB -6.530578456903659e-14 -0.34
AA -6.560564479240598e-14 -0.34
AB -6.521675666355423e-14 -0.36
AB -6.549260368874866e-14 -0.38
AA -6.567352855550167e-14 -0.38
AA -6.582636148757787e-14 -0.42
AA -6.557075304388249e-14 -0.3
AB -6.449180935380718e-14 -0.3
AB -6.555201486497913e-14 -0.42
AB -6.535430831309807e-14 -0.44
AA -6.575305359174543e-14 -0.44
AB -6.570679958054497e-14 -0.46
AA -6.573345087630521e-14 -0.46
AA -6.576802862066721e-14 -0.48
AA -6.563962520727008e-14 -0.4
AB -6.572718160344308e-14 -0.48
AB -6.554961458309708e-14 -0.4
AA -6.578575348629869e-14 -0.5
AB -6.579550955620125e-14 -0.5
AA -3.020660415546253e-14 0.02
AB -1.1682782457960665e-14 0.02
AA -2.0860276001914373e-14 0.04
AB -6.999599482621801e-15 0.04
AA -9.698214943865187e-15 0.06
AA -1.085641182400429e-15 0.08
AB -3.0679538957005856e-15 0.06
AB -2.023671769497646e-14 0.0
AA -2.867036159508999e-14 0.0
AB -2.503778413028044e-15 0.08
AB -5.486777962902841e-16 0.12
AA -7.01453257599266e-16 0.12
AA -4.3908223720080194e-16 0.14
AB -3.836695456775137e-16 0.14
AB -2.7675597469628694e-16 0.16
AA 1.5162715215968977e-16 0.16
AA -2.1243132685573546e-15 0.1
AA 5.973784797809592e-17 0.18
AB -7.50892074834891e-17 0.18
AB -2.4048394193706612e-17 0.22
AA -1.4263293599173805e-17 0.22
AB -8.490383759690971e-16 0.1
AA 2.65940631933641e-18 0.26
AB -1.4620187076670498e-17 0.24
AA -1.3455560940309653e-17 0.24
AB -7.104946485044648e-18 0.26
AB -4.811748300772901e-18 0.28
AA -3.3345171580809404e-18 0.28
AA -5.959030656110489e-17 0.2
AA -3.074349561769392e-18 0.3
AB -5.1046334465390806e-17 0.2
