Domain I Vapp
AA -1.6724403323850873e-13 -0.02
AA -7.441159020263571e-14 0.02
AB -1.3106964401602612e-13 -0.02
AA -3.5172026027618984e-14 0.04
AA -1.7304361131251372e-13 -0.04
AB -7.458349533704435e-14 0.02
AB -4.782460707675096e-14 0.04
AB -1.7595968929884355e-13 -0.04
AA -2.171072463114121e-13 -0.06
AB -2.189323423083364e-13 -0.06
AA -2.865837929888275e-14 0.06
AB -2.7241945259565747e-14 0.06
AA -2.562697215359768e-13 -0.08
AB -2.587175749257544e-13 -0.08
AA -1.1474987591339475e-14 0.08
AB -8.870864380106302e-14 0.0
AA -9.145569659282767e-14 0.0
AB -1.776131670365494e-14 0.08
AB -3.1284533726195026e-13 -0.12
AA 4.506003881368291e-16 0.12
AA -3.1010050563951693e-13 -0.12
AA -2.0975194733556174e-15 0.14
AB -5.993109821023049e-15 0.12
AA -3.3060501418993887e-13 -0.14
AB -1.6019426007218822e-15 0.14
AA -3.431475961813348e-13 -0.16
AB -3.3026858979488963e-13 -0.14
AA -2.0136584242065984e-15 0.16
AB -3.423964579290692e-13 -0.16
AB -1.5040120561803495e-15 0.16
AA -2.6417007920914914e-16 0.18
AA -3.522736183770506e-13 -0.18
AB -3.5237283479400006e-13 -0.18
AB -8.453203674760019e-16 0.18
AA -9.54003968847699e-15 0.1
AA -2.8824736596028477e-13 -0.1
AB -2.8882278566625485e-13 -0.1
AB -1.0805490692679389e-14 0.1
AA -3.6316819949177085e-13 -0.22
AA -1.47884120481407e-16 0.22
AB -2.3655873542856764e-16 0.22
AB -3.6201547873565505e-13 -0.22
AA -1.3607117406522457e-16 0.24
AB -3.6575800292252155e-13 -0.24
AA -3.662378736189614e-13 -0.24
AA -3.688042336019654e-13 -0.26
AB 8.30792353911276e-17 0.24
AA -7.089720491406746e-17 0.26
AB -5.408413684387579e-17 0.26
AA -3.6950813899840465e-13 -0.28
AB -3.680761273271235e-13 -0.26
AB -4.210572740356955e-17 0.28
AB -3.6951747409658693e-13 -0.28
AA -3.66502694718595e-17 0.28
AB -3.580890239191009e-13 -0.2
AA -3.5910785024156556e-13 -0.2
AA -1.2033061453599156e-16 0.2
AB -3.717982247588755e-13 -0.32
AA -3.7217736322853935e-13 -0.32
AB -9.918570053270758e-17 0.2
AB -3.727750586353398e-13 -0.34
AA -3.726847314182949e-13 -0.34
AA -3.7392178412353205e-13 -0.36
AB -3.711539370953594e-13 -0.38
AB -3.734649343825484e-13 -0.36
AA -3.731552394875492e-13 -0.38
AB -3.7137266403047213e-13 -0.3
AA -1.2580876586120633e-17 0.3
AA -3.706450163367332e-13 -0.3
AB -3.743598922118686e-13 -0.42
AA -3.7371081973965137e-13 -0.42
AB -9.173494377584417e-19 0.3
AB -3.740824124920157e-13 -0.44
AA -3.747148961074512e-13 -0.46
AA -3.7448135259470746e-13 -0.44
AA -3.748899415413457e-13 -0.48
AB -3.748596283495837e-13 -0.48
AB -3.750878669708061e-13 -0.46
AB -3.7362421364232475e-13 -0.4
AA -3.736998444643342e-13 -0.4
AA -3.7490540466780967e-13 -0.5
AB -3.7452392068265236e-13 -0.5
