Domain I Vapp
AA -3.254242804423408e-14 -0.04
AB -2.763132460520902e-14 -0.02
AA -2.419135611451226e-14 -0.02
AB -4.1063040867887425e-14 -0.06
AA -4.074688974114826e-14 -0.06
AB -3.3063430262670216e-14 -0.04
AA -5.6225080708767725e-14 -0.12
AA -4.71105202309623e-14 -0.08
AB -4.784603665954159e-14 -0.08
AB -5.897770722777401e-14 -0.14
AA -5.887023872910518e-14 -0.14
AB -5.647200816053364e-14 -0.12
AA -6.010925231199712e-14 -0.16
AB -6.073144956501312e-14 -0.16
AA -6.172739659127007e-14 -0.18
AB -5.280753609314889e-14 -0.1
AA -5.215524793344432e-14 -0.1
AB -6.255988133742812e-14 -0.18
AA -6.373520432456053e-14 -0.22
AB -6.395940534324546e-14 -0.22
AA -6.407233655634209e-14 -0.24
AB -6.436408981721072e-14 -0.24
AA -6.469099781141478e-14 -0.26
AB -6.469947866516932e-14 -0.26
AA -6.493781980212e-14 -0.28
AA -6.30602193302993e-14 -0.2
AB -6.49747103201003e-14 -0.28
AA -6.517285316647864e-14 -0.32
AB -6.310489135702492e-14 -0.2
AB -6.522056216592524e-14 -0.32
AA -6.556580068352656e-14 -0.36
AB -6.608917563719534e-14 -0.34
AA -6.512519857223342e-14 -0.34
AA -6.570633965041527e-14 -0.38
AB -6.55739130635274e-14 -0.38
AB -6.550934322814948e-14 -0.36
AA -6.512112492644542e-14 -0.3
AA -6.567134275837934e-14 -0.42
AB -6.513186830564146e-14 -0.3
AB -6.553216005335486e-14 -0.42
AA -6.585014351546609e-14 -0.44
AB -6.569636121500016e-14 -0.44
AA -6.586643406215335e-14 -0.48
AB -6.574916656630717e-14 -0.46
AA -6.552345942292915e-14 -0.46
AA -6.571106380439379e-14 -0.4
AB -6.560270882280039e-14 -0.4
AB -6.570404091156175e-14 -0.48
AA -6.556838551428613e-14 -0.5
AB -6.568757959092524e-14 -0.5
AA -1.5382823061105948e-14 0.02
AB -1.0151159028980763e-14 0.02
AA -8.718309977837026e-15 0.04
AB -9.128189982188148e-15 0.04
AA -5.307694158811043e-15 0.06
AA -2.5833619224003884e-15 0.08
AB -5.267817222860153e-15 0.06
AA -2.188838616753276e-14 0.0
AB -2.4420370644879876e-14 0.0
AB -2.7895277740180183e-15 0.08
AA -4.46377571182765e-16 0.14
AA -1.029034131165439e-15 0.12
AB -8.692108475304736e-16 0.12
AB -1.8504892564506874e-16 0.16
AB -4.074820605401467e-16 0.14
AA -2.839804929648017e-16 0.16
AA -9.174253655120736e-17 0.18
AA -1.4696451771764245e-15 0.1
AB 1.1009931077979514e-17 0.18
AA -1.8246505780751808e-17 0.22
AB -1.4436940057804002e-15 0.1
AB -1.664702475794902e-17 0.22
AB -1.2917632855232039e-17 0.24
AA -6.6581336738959285e-18 0.26
AA -7.193670262361147e-18 0.24
AB -6.103181081219407e-18 0.28
AB 1.2616132555489597e-18 0.26
AA -1.845219194821349e-18 0.28
AB -3.435202009938468e-17 0.2
AA -5.451104093645306e-17 0.2
AA -3.688145155927291e-18 0.3
