Domain I Vapp
AA -1.457168119538274e-13 -0.02
AB -1.5610732634235682e-13 -0.02
AA -1.7957782820581057e-13 -0.04
AB -2.1396557023977373e-13 -0.06
AB -1.9070434060732219e-13 -0.04
AA -2.0472899092549572e-13 -0.06
AA -2.2241717966018415e-13 -0.08
AB -2.2959832637642056e-13 -0.08
AA -2.441289477458544e-13 -0.12
AB -2.4621287679865104e-13 -0.12
AB -2.5078873027015964e-13 -0.14
AA -2.4862614154845856e-13 -0.14
AA -2.554306819342168e-13 -0.18
AA -2.5243851809968426e-13 -0.16
AB -2.544552509876664e-13 -0.16
AB -2.5593828339689456e-13 -0.18
AB -2.397603158826707e-13 -0.1
AA -2.343643642934891e-13 -0.1
AB -2.5967769629195176e-13 -0.22
AA -2.593888188925143e-13 -0.22
AA -2.60589820238175e-13 -0.24
AB -2.604329414688908e-13 -0.24
AA -2.603016268590552e-13 -0.26
AB -2.616022961699853e-13 -0.26
AA -2.5755832753929606e-13 -0.2
AB -2.610305630147034e-13 -0.28
AA -2.6207952398293227e-13 -0.28
AB -2.590588068391944e-13 -0.2
AA -2.6258430768994034e-13 -0.32
AB -2.6193574852858096e-13 -0.32
AA -2.626212769442775e-13 -0.34
AA -2.6269278199726585e-13 -0.36
AB -2.626242851027925e-13 -0.34
AB -2.6293786246970453e-13 -0.38
AA -2.6279211331708263e-13 -0.38
AB -2.6286516432069193e-13 -0.36
AA -2.6220403071605167e-13 -0.3
AA -2.624065734467935e-13 -0.42
AB -2.622562309790886e-13 -0.3
AB -2.631648646040249e-13 -0.42
AA -2.629777655698825e-13 -0.44
AB -2.632310897552395e-13 -0.44
AB -2.633987569907129e-13 -0.46
AA -2.6342179392368766e-13 -0.48
AA -2.6336626709049266e-13 -0.46
AB -2.6318371632422855e-13 -0.48
AB -2.6309597359876807e-13 -0.4
AA -2.6235429447079636e-13 -0.4
AB -2.631024855306409e-13 -0.5
AA -2.63283207391856e-13 -0.5
AA -1.0813161635482304e-13 0.02
AB -7.236478622266195e-14 0.02
AB -4.1050760560264875e-14 0.04
AA -8.86591563055181e-14 0.04
AA -2.2634702756163378e-14 0.08
AA -3.741663628150677e-14 0.06
AB -3.552695856943457e-14 0.06
AB -2.341033069391721e-14 0.08
AA -1.0544649446517538e-13 0.0
AB -1.1343893501890661e-13 0.0
AA -1.2226363569528965e-16 0.12
AB 6.468792730362977e-15 0.12
AA -2.5546379241357567e-15 0.14
AB -1.1795104407415583e-15 0.16
AB -1.838588141889518e-15 0.14
AA -1.0408286298919584e-15 0.16
AB -3.8668877371208587e-16 0.18
AA -1.1077207102263996e-14 0.1
AA -3.7901324252185414e-16 0.18
AA -1.2208030191533808e-16 0.22
AB 1.4250676532154492e-15 0.1
AB -1.1987262658189918e-16 0.22
AA -2.9114522271423306e-17 0.26
AB -3.191822798478868e-17 0.24
AA -3.1402840246237603e-17 0.24
AA -2.4988008233747608e-17 0.28
AB -3.2881451858318385e-17 0.26
AB -6.550428813590381e-18 0.28
AB -8.264932087345229e-17 0.2
AA 6.062435454248257e-19 0.3
AA -2.3154491943420846e-16 0.2
