Domain I Vapp
AA -1.5735492674128551e-13 -0.02
AA -1.9237084055316355e-13 -0.04
AB -1.5871605424702645e-13 -0.02
AA -2.1799561631351588e-13 -0.06
AB -1.9438078841131209e-13 -0.04
AB -2.1838925613116086e-13 -0.06
AA -2.3328132598346216e-13 -0.08
AA -2.4849068851443956e-13 -0.12
AB -2.330407463290555e-13 -0.08
AB -2.5254770808264077e-13 -0.14
AB -2.485671654522277e-13 -0.12
AA -2.5276549743359533e-13 -0.14
AB -2.5544013509466667e-13 -0.16
AA -2.556643226644494e-13 -0.16
AA -2.5724490338669177e-13 -0.18
AB -2.570705891895111e-13 -0.18
AB -2.426489674473729e-13 -0.1
AA -2.434345765243061e-13 -0.1
AA -2.6085082649064037e-13 -0.24
AB -2.6001586097846343e-13 -0.22
AA -2.600580077407606e-13 -0.22
AA -2.6175737754228134e-13 -0.26
AB -2.5998407371492256e-13 -0.24
AB -2.6164494266058845e-13 -0.26
AA -2.589920922697378e-13 -0.2
AA -2.6189881072209497e-13 -0.28
AB -2.618267924655124e-13 -0.28
AB -2.5852353391003555e-13 -0.2
AB -2.6289871697998766e-13 -0.32
AA -2.6277848104414996e-13 -0.32
AA -2.628007812435521e-13 -0.34
AA -2.628854950170211e-13 -0.36
AB -2.627972609767798e-13 -0.34
AB -2.6308107597760625e-13 -0.38
AA -2.627695980088025e-13 -0.38
AB -2.630256663370804e-13 -0.36
AA -2.6237163004577104e-13 -0.3
AA -2.636068094134903e-13 -0.42
AB -2.6219032124713003e-13 -0.3
AB -2.6313827866244636e-13 -0.42
AB -2.6265915939247e-13 -0.44
AA -2.634436609107801e-13 -0.44
AA -2.632338330526594e-13 -0.46
AA -2.6316933697543415e-13 -0.48
AB -2.634508033880267e-13 -0.46
AA -2.6319809213887864e-13 -0.4
AB -2.6308698571527646e-13 -0.4
AB -2.632678044823765e-13 -0.48
AA -2.634235611160303e-13 -0.5
AA -7.235370489448537e-14 0.02
AB -2.6329656877989703e-13 -0.5
AB -7.341274598700222e-14 0.02
AB -8.978002698951188e-14 0.04
AA -9.293066495608366e-14 0.04
AA -2.8022456961967084e-14 0.06
AB -4.0011658231398105e-14 0.06
AA -1.3568161497258592e-14 0.08
AB -1.787049444615829e-14 0.08
AB -1.1539330609401952e-13 0.0
AA -1.1353945379680169e-13 0.0
AA -5.424655601756361e-15 0.12
AA -2.432882640544354e-15 0.14
AB -5.01597557020713e-15 0.12
AB -2.693311742013349e-15 0.14
AA -1.172955433124709e-15 0.16
AB -7.448585131365158e-16 0.16
AB -3.238624862789924e-16 0.18
AA 7.71399514937288e-16 0.18
AA -9.256379320922272e-15 0.1
AB -8.818312679675451e-15 0.1
AB -7.120546353206322e-17 0.22
AA 1.033943298603508e-17 0.22
AA -2.3745940045102574e-18 0.24
AA -3.766898908198449e-17 0.26
AB -6.462005786169173e-17 0.24
AB -2.0908561791859697e-17 0.28
AA -2.7523303659743818e-17 0.28
AB -4.001412974403634e-17 0.26
AA 6.879687051755887e-17 0.2
AA -2.049304128261757e-17 0.3
AB -1.7199297255506273e-16 0.2
