idx I Vapp Center(x) Center(y)
0 -1.4307760071669122e-15 0.0 0.0 0.0
1 -1.446686852817792e-15 0.0 0.5552234412021141 -0.32055840323843093
2 -1.405452035184528e-15 0.0 1.1104468824042282 -0.6411168064768619
3 -1.4490284525864111e-15 0.0 1.6656703236063424 -0.9616752097152929
4 -1.395871349771074e-15 0.0 2.2208937648084563 -1.2822336129537237
5 -1.4528827110928338e-15 0.0 2.7761172060105705 -1.6027920161921547
6 -1.4501797909705469e-15 0.0 3.3313406472126847 -1.9233504194305857
7 -1.44644796922873e-15 0.0 3.8865640884147994 -2.2439088226690167
8 -1.4258993182339336e-15 0.0 4.441787529616913 -2.5644672259074475
9 -1.3315316865305383e-15 0.0 4.997010970819027 -2.8850256291458787
10 -1.3927024122944588e-15 0.0 5.552234412021141 -3.2055840323843094
11 -1.4198795008718286e-15 0.0 6.107457853223255 -3.52614243562274
12 -1.4368800862549668e-15 0.0 6.6626812944253695 -3.8467008388611714
13 -1.424394432667662e-15 0.0 7.217904735627483 -4.167259242099602
14 -1.4404581818631515e-15 0.0 7.773128176829599 -4.487817645338033
15 -1.4332149621996146e-15 0.0 8.32835161803171 -4.808376048576465
16 -1.3497037577311163e-15 0.0 8.883575059233825 -5.128934451814895
17 -1.4360212746519542e-15 0.0 9.43879850043594 -5.449492855053326
18 -1.4504866621769552e-15 0.0 9.994021941638055 -5.770051258291757
19 -1.3998658394420773e-15 0.0 10.549245382840168 -6.090609661530188
20 -1.4357240675461387e-15 0.0 11.104468824042282 -6.411168064768619
21 -1.4183746884943625e-15 0.0 11.659692265244397 -6.73172646800705
22 -1.4491139217632661e-15 0.0 12.21491570644651 -7.05228487124548
23 -1.4252934129948117e-15 0.0 12.770139147648626 -7.3728432744839125
24 -1.4351658705046272e-15 0.0 13.325362588850739 -7.693401677722343
25 -1.439427571257359e-15 0.0 13.880586030052854 -8.013960080960775
26 -1.4346623946187742e-15 0.0 14.435809471254966 -8.334518484199204
27 -1.3938818129585991e-15 0.0 14.991032912457081 -8.655076887437636
28 -1.4428029328127654e-15 0.0 15.546256353659198 -8.975635290676067
29 -1.4362949793348725e-15 0.0 16.10147979486131 -9.296193693914496
30 -1.427805252649387e-15 0.0 16.65670323606342 -9.61675209715293
31 -1.422683391358427e-15 0.0 17.211926677265538 -9.93731050039136
32 -1.4049795806969952e-15 0.0 17.76715011846765 -10.25786890362979
33 -1.406816820676256e-15 0.0 18.322373559669767 -10.578427306868221
34 -1.4329845058277652e-15 0.0 18.87759700087188 -10.898985710106652
35 -1.4349444616033787e-15 0.0 19.432820442073993 -11.219544113345084
36 -1.444568997810177e-15 0.0 19.98804388327611 -11.540102516583515
37 -1.451535165598627e-15 0.0 20.543267324478226 -11.860660919821946
38 -1.3702384492679693e-15 0.0 21.098490765680335 -12.181219323060375
39 -1.433112965873475e-15 0.0 21.65371420688245 -12.501777726298807
40 -1.4333576025155774e-15 0.0 22.208937648084564 -12.822336129537238
41 -1.4387153564630018e-15 0.0 22.764161089286677 -13.142894532775669
42 -1.4175349958371744e-15 0.0 23.319384530488794 -13.4634529360141
43 -1.4309380077220132e-15 0.0 23.874607971690907 -13.784011339252531
44 -1.4388448783717061e-15 0.0 24.42983141289302 -14.10456974249096
45 -1.4396420676852096e-15 0.0 24.985054854095132 -14.425128145729392
46 -1.449232168644888e-15 0.0 25.540278295297252 -14.745686548967825
47 -1.4227440278232415e-15 0.0 26.09550173649936 -15.066244952206254
48 -1.429049497776915e-15 0.0 0.5552234412021141 0.32055840323843093
49 -1.4304797103101568e-15 0.0 1.1104468824042282 0.0
50 -1.4058627282980464e-15 0.0 1.6656703236063424 -0.32055840323843093
51 -1.4099956540178305e-15 0.0 2.2208937648084563 -0.641116806476862
52 -1.364848281915761e-15 0.0 2.7761172060105705 -0.9616752097152929
53 -1.4285073270983528e-15 0.0 3.3313406472126847 -1.282233612953724
54 -1.4433667200282787e-15 0.0 3.8865640884147985 -1.6027920161921547
55 -1.4401899685690267e-15 0.0 4.441787529616913 -1.9233504194305857
56 -1.41866315343166e-15 0.0 4.997010970819027 -2.2439088226690163
57 -1.4159682178332264e-15 0.0 5.552234412021142 -2.5644672259074475
58 -1.3349773831439301e-15 0.0 6.107457853223255 -2.8850256291458787
59 -1.4447067519870424e-15 0.0 6.6626812944253695 -3.2055840323843094
60 -1.4268231253894894e-15 0.0 7.217904735627484 -3.52614243562274
61 -1.4260565778200998e-15 0.0 7.773128176829597 -3.846700838861171
62 -1.4265153468893844e-15 0.0 8.328351618031713 -4.167259242099603
63 -1.4420428201439316e-15 0.0 8.883575059233825 -4.487817645338033
64 -1.4533024802957524e-15 0.0 9.43879850043594 -4.808376048576465
65 -1.4135365734656952e-15 0.0 9.994021941638055 -5.128934451814896
66 -1.4530847005802826e-15 0.0 10.54924538284017 -5.449492855053326
67 -1.4083508160728238e-15 0.0 11.104468824042282 -5.770051258291757
68 -1.3866437735782623e-15 0.0 11.659692265244397 -6.090609661530189
