Domain I Vapp
AB -5.0009497795096556e-14 -0.02
AA -4.8373745608121595e-14 -0.02
AA -6.16800264362879e-14 -0.04
AB -6.370058209972581e-14 -0.04
AB -7.403191516151476e-14 -0.06
AA -7.227191154903339e-14 -0.06
AA -8.895501062165609e-14 -0.12
AB -8.144741944781084e-14 -0.08
AA -7.925091810258615e-14 -0.08
AA -9.13799130427183e-14 -0.14
AB -9.221850533460016e-14 -0.14
AB -9.000599336842894e-14 -0.12
AB -9.378538648460499e-14 -0.16
AA -9.322104117098891e-14 -0.16
AA -9.448835290940143e-14 -0.18
AA -8.523285693659175e-14 -0.1
AB -9.49705148349748e-14 -0.18
AB -8.652242529916915e-14 -0.1
AA -9.629041332101418e-14 -0.22
AA -9.686103595929506e-14 -0.24
AB -9.647039198443951e-14 -0.22
AA -9.708862403851235e-14 -0.26
AB -9.736740960485671e-14 -0.26
AB -9.696627800791974e-14 -0.24
AB -9.757884529442724e-14 -0.28
AA -9.511941637522311e-14 -0.2
AA -9.686003084618451e-14 -0.28
AA -9.808369642329166e-14 -0.32
AB -9.590710814096208e-14 -0.2
AB -9.808114460992063e-14 -0.32
AA -9.850817183262182e-14 -0.36
AA -9.80895445241361e-14 -0.34
AB -9.868255035797341e-14 -0.34
AB -9.86124951993911e-14 -0.36
AA -9.834641211372197e-14 -0.38
AB -9.82724954588732e-14 -0.38
AA -9.782566489462887e-14 -0.3
AA -9.850989252602672e-14 -0.42
AB -9.792047740920135e-14 -0.3
AA -9.864540291423303e-14 -0.44
AB -9.795203585169307e-14 -0.42
AB -9.851841855112554e-14 -0.44
AB -9.85300625604697e-14 -0.46
AA -9.853570155971977e-14 -0.46
AA -9.8607663992364e-14 -0.48
AA -9.847603687566941e-14 -0.4
AB -9.849339293801778e-14 -0.4
AB -9.85511879780726e-14 -0.48
AA -2.1701250517427462e-14 0.02
AB -9.85905359608131e-14 -0.5
AA -9.85242306525705e-14 -0.5
AB -2.4255938240971916e-14 0.04
AB -2.24425626340267e-14 0.02
AA -2.0976951859062416e-14 0.04
AA -5.248947347883389e-15 0.08
AA -9.30864354708571e-15 0.06
AB -1.2131706220449853e-14 0.06
AB -2.548981313866185e-15 0.08
AB -4.25239971012371e-14 0.0
AA -3.4143991894077634e-14 0.0
AB -5.72380248558652e-16 0.12
AA 9.20268597770277e-16 0.14
AA -2.023914870135861e-15 0.12
AA -3.0527271042821824e-16 0.16
AB 3.7745312521814443e-16 0.16
AB -2.803833786056909e-16 0.14
AB -8.362760357903438e-17 0.18
AA -2.9957213014495913e-15 0.1
AA 5.403059752051962e-18 0.18
AA -4.211977554554646e-17 0.22
AB -4.5684504073320996e-17 0.22
AB -3.0414567743171337e-15 0.1
AA -1.2615217424015975e-17 0.26
AB 2.202137948258705e-17 0.24
AA -2.1762273477282646e-17 0.24
AB -1.1626013674893737e-17 0.26
AB -8.766496242825162e-18 0.28
AA -9.506474213417113e-18 0.28
AA -8.618400949418675e-17 0.2
AA -4.2530820855759e-18 0.3
AB -1.0061359829177692e-16 0.2
