Domain I Vapp
AB -2.954894554986708e-14 -0.02
AA -6.134008920577684e-14 -0.02
AA -7.455879370112249e-14 -0.04
AB -3.9845391026987523e-14 -0.04
AA -8.311402930325445e-14 -0.06
AB -5.091067318945987e-14 -0.06
AB -6.106165499277933e-14 -0.08
AA -8.789671319114812e-14 -0.08
AA -9.285512188439495e-14 -0.12
AA -9.412425385595521e-14 -0.14
AB -8.283084151357126e-14 -0.14
AB -7.718721219080778e-14 -0.12
AA -9.516076746303042e-14 -0.16
AA -9.568275229795902e-14 -0.18
AB -8.686128181612693e-14 -0.16
AB -9.007666851416424e-14 -0.18
AA -9.109511866218776e-14 -0.1
AB -6.988621065874804e-14 -0.1
AA -9.70775769941678e-14 -0.24
AA -9.686919219310189e-14 -0.22
AB -9.360601906824411e-14 -0.22
AA -9.753550584763407e-14 -0.26
AB -9.611686432217336e-14 -0.26
AB -9.502316583219918e-14 -0.24
AA -9.63914783946661e-14 -0.2
AB -9.700426035818214e-14 -0.28
AA -9.776739842790183e-14 -0.28
AA -9.835592259624609e-14 -0.32
AB -9.219118286206995e-14 -0.2
AB -9.7144847407457e-14 -0.32
AA -9.832889580855063e-14 -0.34
AA -9.832293046383481e-14 -0.36
AB -9.780152536570993e-14 -0.34
AA -9.841605423229452e-14 -0.38
AB -9.802480737054771e-14 -0.36
AB -9.795136298016063e-14 -0.38
AA -9.810727743316518e-14 -0.3
AA -9.847785539785434e-14 -0.42
AB -9.723195989274181e-14 -0.3
AB -9.810246972788261e-14 -0.42
AB -9.83940386077779e-14 -0.44
AA -9.844701892062762e-14 -0.44
AA -9.87830484014522e-14 -0.46
AA -9.856031558133307e-14 -0.48
AB -9.804141319767678e-14 -0.46
AA -9.843745307403896e-14 -0.4
AB -9.846960357597848e-14 -0.48
AB -9.825494969757557e-14 -0.4
AB -9.852034426189927e-14 -0.5
AA -2.8495695242439464e-14 0.02
AA -9.761992609958825e-14 -0.5
AA -2.4898482592730216e-14 0.04
AB -1.0958452127003524e-14 0.04
AB -1.8383950575519742e-14 0.02
AB -5.736270199038509e-15 0.06
AA -4.946770326596384e-15 0.08
AA -8.329268833836054e-15 0.06
AB -2.7450249078377864e-14 0.0
AB -3.4205803568100023e-15 0.08
AA -4.499365592519534e-14 0.0
AB -1.105013077171038e-15 0.12
AA -1.5868049902439244e-15 0.12
AA -5.800816074681677e-16 0.14
AA -3.74575023245932e-16 0.16
AB -2.5320669300733166e-16 0.16
AB -7.343688151584548e-16 0.14
AA -1.2853791225051691e-18 0.18
AA -3.4990473268712286e-15 0.1
AB -1.016458480067554e-16 0.18
AB -4.501494654842574e-17 0.22
AA -2.3195622491985773e-17 0.22
AB -2.2636146986794666e-15 0.1
AA -2.1431048575177013e-17 0.24
AB -6.793091992065275e-19 0.24
AA 2.4730886290255644e-17 0.26
AB -5.173817557854905e-18 0.28
AA -1.226442589034366e-18 0.28
AB -1.1565721544110148e-17 0.26
AA -6.148615179990403e-17 0.2
AA -8.183227259128906e-18 0.3
AB -8.270127664758347e-17 0.2
