Domain I Vapp
AA -2.852407184375981e-14 -0.02
AB -1.9672378760949433e-14 -0.02
AA -3.7312180984215284e-14 -0.04
AB -3.836938114829267e-14 -0.06
AA -4.4538573122761086e-14 -0.06
AB -3.0591424979177203e-14 -0.04
AA -5.858865654044677e-14 -0.12
AB -4.520639230848444e-14 -0.08
AA -5.122066085174021e-14 -0.08
AA -6.00749552739631e-14 -0.14
AB -5.757750517225003e-14 -0.14
AB -5.416462299233482e-14 -0.12
AA -6.292240043651676e-14 -0.18
AA -6.185656237568242e-14 -0.16
AB -5.97549493929919e-14 -0.16
AB -5.041284869726781e-14 -0.1
AA -5.5394185261437953e-14 -0.1
AB -6.132570447567605e-14 -0.18
AA -6.454918974221357e-14 -0.24
AB -6.331513014530228e-14 -0.22
AA -6.431294170054862e-14 -0.22
AA -6.455419433091835e-14 -0.26
AB -6.373476516327619e-14 -0.24
AB -6.442956448072758e-14 -0.26
AB -6.477089576600001e-14 -0.28
AA -6.367087387552315e-14 -0.2
AA -6.511528561176556e-14 -0.28
AA -6.54494552269016e-14 -0.32
AB -6.51836108314198e-14 -0.32
AB -6.257180276470806e-14 -0.2
AA -6.554867973554576e-14 -0.36
AA -6.53571640038615e-14 -0.34
AB -6.538485267292243e-14 -0.34
AB -6.551044121509565e-14 -0.36
AA -6.543298473201834e-14 -0.38
AB -6.55161651108795e-14 -0.38
AB -6.498783465627587e-14 -0.3
AA -6.490281121612515e-14 -0.3
AA -6.568481591724187e-14 -0.42
AB -6.567073185614541e-14 -0.44
AA -6.574573454070741e-14 -0.44
AB -6.57046363072477e-14 -0.42
AA -6.542838296540808e-14 -0.46
AB -6.567521575324533e-14 -0.46
AA -6.575371777604131e-14 -0.48
AA -6.563410207579095e-14 -0.4
AB -6.502531917087154e-14 -0.48
AB -6.559526393869244e-14 -0.4
AA -6.578188783717609e-14 -0.5
AA -1.2698503134415354e-14 0.02
AB -6.553124512500423e-14 -0.5
AA -1.0934225370068163e-14 0.04
AB -7.97929571917515e-15 0.04
AB -1.2767276921206211e-14 0.02
AA -3.7750597931242965e-15 0.08
AA -5.5709294272886725e-15 0.06
AB -5.087223009819429e-15 0.06
AB -2.5813356557318983e-15 0.08
AA -2.4482336247859745e-14 0.0
AB -2.0393854915906874e-14 0.0
AA -4.928503195240025e-16 0.14
AA 5.375713801719189e-16 0.12
AB -8.421165089951871e-16 0.12
AB -5.186801719605473e-16 0.14
AA 1.9303174225256854e-16 0.16
AB -2.505690742373142e-16 0.16
AA 8.796425163084106e-16 0.1
AB -1.098155482560199e-16 0.18
AA -1.0130490988635087e-16 0.18
AB -1.2494775141073642e-15 0.1
AB -2.9450027936949887e-17 0.22
AA -2.1110547261829568e-17 0.22
AA -7.378686543834448e-18 0.26
AB -1.0706268954715145e-17 0.24
AA -1.5619293979074088e-17 0.24
AB -9.166610042387373e-18 0.26
AB -4.4706250181055904e-18 0.28
AA -2.457934802151059e-18 0.28
AA -2.762319596868067e-18 0.3
AB -3.268051368813339e-17 0.2
AA -3.417319129646845e-17 0.2
