Domain I Vapp
AB -2.0906440980175556e-13 -0.02
AA -9.557559240508866e-14 0.02
AA -2.0754161643229114e-13 -0.02
AA -2.527172029808073e-13 -0.04
AA -4.763937795692909e-14 0.04
AB -9.641711144713175e-14 0.02
AB -5.3973131779031705e-14 0.04
AB -2.5474622581416685e-13 -0.04
AA -2.8258677816693097e-13 -0.06
AB -2.845914903746207e-13 -0.06
AB -2.4259187181730505e-14 0.06
AA -2.7864410286731374e-14 0.06
AA -2.99619556859571e-13 -0.08
AA 2.629889607249156e-15 0.08
AB -3.021357656418716e-13 -0.08
AB -1.5207447301844753e-13 0.0
AA -1.5088605987457725e-13 0.0
AB -2.1024854173737184e-14 0.08
AA -3.169358821427218e-13 -0.12
AA -4.392177440950644e-15 0.12
AB -3.17503792317052e-13 -0.12
AA -1.6697695408654768e-15 0.14
AB -4.472033777182855e-15 0.12
AA -3.2001469668385267e-13 -0.14
AB -3.2120263493690715e-13 -0.14
AA -3.22826916251322e-13 -0.16
AB -3.1655867161954217e-15 0.14
AA -1.384907566916934e-15 0.16
AB -2.845645269861704e-16 0.16
AB -3.23030391948136e-13 -0.16
AA -3.241150639130156e-13 -0.18
AB -3.237710420239609e-13 -0.18
AA -4.927466901804972e-16 0.18
AA -1.1246510591457116e-14 0.1
AB -6.504559371472609e-16 0.18
AA -3.1072499406951443e-13 -0.1
AA -3.264798908884019e-13 -0.22
AB -3.125791094547354e-13 -0.1
AB -1.4806353661349712e-14 0.1
AA -1.3958767580594072e-16 0.22
AB -1.5956521410501765e-16 0.22
AB -3.262261486972261e-13 -0.22
AB -3.270727100409668e-13 -0.24
AA -3.274592939329478e-13 -0.24
AA -9.145319649194935e-17 0.24
AA -3.2753602789184873e-13 -0.26
AB -6.815520142889724e-17 0.24
AA -3.8152094585577864e-17 0.26
AB -3.275844468323433e-13 -0.26
AA -3.278582564895792e-13 -0.28
AB -4.4828467529588815e-17 0.26
AB -3.2872604383039757e-13 -0.28
AA -5.538564264819665e-18 0.28
AB -1.505772293633183e-17 0.28
AA -3.247740541844263e-13 -0.2
AB -3.256632944373406e-13 -0.2
AA -2.386671450097995e-16 0.2
AA -3.288503676299368e-13 -0.32
AB -3.283517913047722e-13 -0.32
AB -3.255665848975148e-16 0.2
AB -3.2766067342923544e-13 -0.34
AA -3.2863745164115167e-13 -0.34
AA -3.2944245376868294e-13 -0.36
AA -3.2883853735902337e-13 -0.38
AB -3.291645359246081e-13 -0.36
AB -3.291840093770049e-13 -0.38
AA -8.91735532663408e-18 0.3
AA -3.263968799676236e-13 -0.3
AB -3.2845980504200105e-13 -0.3
AB -1.721012586600767e-17 0.3
AA -3.2891117030327437e-13 -0.42
AB -3.290324915252803e-13 -0.42
AA -3.2927397854410723e-13 -0.44
AB -3.289228718224609e-13 -0.44
AA -3.289768363559324e-13 -0.46
AB -3.272599316786151e-13 -0.46
AA -3.2842080944576755e-13 -0.48
AB -3.286983510499506e-13 -0.48
AA -3.2844733233607265e-13 -0.5
AB -3.29271110646694e-13 -0.4
AA -3.2906352824261366e-13 -0.4
AB -3.292147370150939e-13 -0.5
