Domain I Vapp
AA -4.1181001770304597e-13 -0.02
AA -1.905810333357942e-13 0.02
AB -4.1295116373814007e-13 -0.02
AB -1.9148917160182603e-13 0.02
AA -1.0734619081118555e-13 0.04
AA -5.013158755946549e-13 -0.04
AB -5.033634186683854e-13 -0.04
AA -5.606204079993188e-13 -0.06
AB -1.0732245434602233e-13 0.04
AA -5.5510857165963737e-14 0.06
AB -5.5908152786514445e-14 0.06
AB -5.652399535691985e-13 -0.06
AA -5.971613123391901e-13 -0.08
AB -6.0065637486041e-13 -0.08
AA -6.082871237080043e-14 0.08
AA -2.997714846455175e-13 0.0
AB -3.003616094668217e-13 0.0
AB -4.4604644612540885e-14 0.08
AB -6.361413703376795e-13 -0.12
AA -1.3234589602999897e-14 0.12
AA -6.323778105004084e-13 -0.12
AB -1.4747322115391705e-14 0.12
AA -6.400850950416945e-13 -0.14
AA -6.722252072611608e-15 0.14
AB -6.441367083905991e-13 -0.14
AB -6.712960657740969e-15 0.14
AA -6.45607873418688e-13 -0.16
AB -1.8732757481323836e-15 0.16
AA -2.8929904807038466e-15 0.16
AB -6.497478745209542e-13 -0.16
AA -6.504353931808859e-13 -0.18
AA -1.3422138587781202e-15 0.18
AB -6.510678280001952e-13 -0.18
AA -6.19230117665561e-13 -0.1
AA 8.249524882868011e-15 0.1
AB 4.852697391645071e-16 0.18
AB -6.225212739048362e-13 -0.1
AB -2.8241043215980283e-14 0.1
AA -6.534011237275667e-13 -0.22
AA -2.5301925342393308e-16 0.22
AB -6.555550111190994e-13 -0.22
AB -1.3010470964156978e-16 0.22
AA -6.553752876262911e-13 -0.24
AA -1.4168153863786363e-16 0.24
AB -6.538392325574167e-13 -0.24
AB -1.549283638463306e-16 0.24
AA -6.563292463072749e-13 -0.26
AA 4.0512606267059435e-17 0.26
AB -6.569432635785852e-13 -0.26
AA -6.571860377985211e-13 -0.28
AB -6.442808684336362e-19 0.26
AB -6.576534636855092e-13 -0.28
AA -5.272171803135331e-17 0.28
AB -2.9687732724845927e-17 0.28
AA -6.524762452301185e-13 -0.2
AA -6.639258424769565e-16 0.2
AB -6.532060115521076e-13 -0.2
AA -6.582480554269915e-13 -0.32
AB -1.4788780422667973e-16 0.2
AB -6.58182241926429e-13 -0.32
AA -6.586328681927967e-13 -0.36
AB -6.56801111226281e-13 -0.34
AA -6.569478295193904e-13 -0.34
AB -6.584606914769218e-13 -0.36
AB -6.5878433465019e-13 -0.38
AA -6.593694794981356e-13 -0.38
AA -6.574402203642889e-13 -0.3
AB -6.577178209093235e-13 -0.3
AA -4.418158187473151e-17 0.3
AA -6.589795473540676e-13 -0.42
AB -6.583654783686371e-13 -0.42
AB 1.2099729789962716e-17 0.3
AA -6.603482156781124e-13 -0.46
AA -6.588731611859367e-13 -0.44
AB -6.586868077715323e-13 -0.44
AB -6.577375568848154e-13 -0.46
AB -6.597346372242092e-13 -0.48
AA -6.588537902593281e-13 -0.48
AA -6.561774198055955e-13 -0.5
AA -6.584690837724934e-13 -0.4
AB -6.585502819884417e-13 -0.4
AB -6.590363143903591e-13 -0.5
