Domain I Vapp
AA -5.899667702996171e-14 -0.02
AA -7.213632290857928e-14 -0.04
AB -3.268998583741459e-14 -0.02
AB -5.4181915195483233e-14 -0.06
AA -8.112685707873595e-14 -0.06
AB -4.371049191598458e-14 -0.04
AA -9.225336738623572e-14 -0.12
AB -6.34480306599805e-14 -0.08
AA -8.607968263623683e-14 -0.08
AB -7.854953013191309e-14 -0.12
AA -9.370283869633795e-14 -0.14
AB -8.377799215700689e-14 -0.14
AA -9.55530580151338e-14 -0.18
AA -9.476584417179159e-14 -0.16
AB -8.76521755559164e-14 -0.16
AB -7.190008394523902e-14 -0.1
AB -9.054431043821823e-14 -0.18
AA -9.016557504777332e-14 -0.1
AB -9.428012726538994e-14 -0.22
AA -9.723613106038038e-14 -0.24
AA -9.677105558356554e-14 -0.22
AB -9.627931938473683e-14 -0.26
AB -9.529975167267174e-14 -0.24
AA -9.755535011052027e-14 -0.26
AA -9.776037120783122e-14 -0.28
AB -9.689508854018534e-14 -0.28
AA -9.623885462208099e-14 -0.2
AA -9.81005461763528e-14 -0.32
AB -9.78276926509162e-14 -0.32
AB -9.272908625804947e-14 -0.2
AB -9.780933886365417e-14 -0.34
AA -9.82365504350064e-14 -0.34
AA -9.832966068255081e-14 -0.36
AB -9.805854106494826e-14 -0.36
AA -9.827640571047061e-14 -0.38
AB -9.755671853060497e-14 -0.38
AA -9.81813818722367e-14 -0.3
AA -9.851486271893352e-14 -0.42
AB -9.72411920920868e-14 -0.3
AA -9.853221049582024e-14 -0.44
AB -9.877099066928665e-14 -0.44
AB -9.828411186964957e-14 -0.42
AA -9.871071841375848e-14 -0.48
AA -9.854191012220224e-14 -0.46
AB -9.875550335930577e-14 -0.46
AB -9.82766498795307e-14 -0.4
AA -9.845187017631796e-14 -0.4
AB -9.852168123029338e-14 -0.48
AA -2.723825193297532e-14 0.02
AB -9.856791445517313e-14 -0.5
AA -9.860020390639999e-14 -0.5
AB -2.023245904084348e-14 0.02
AB -1.2592986404846039e-14 0.04
AA -2.3301802381680242e-14 0.04
AA -6.8628623311212585e-15 0.08
AA -9.940278596965662e-15 0.06
AB -6.375404025504204e-15 0.06
AB -2.700997998545494e-14 0.0
AB -3.3056575212898533e-15 0.08
AA -4.2731263356167895e-14 0.0
AA 4.1712498374726294e-15 0.12
AA -6.429549219252473e-16 0.14
AB -1.183657629899608e-15 0.12
AB -3.0948631417417485e-16 0.16
AA -4.362259450706728e-16 0.16
AB -8.372774393830832e-16 0.14
AA -2.3353577588014455e-16 0.18
AB -1.8456541158637167e-16 0.18
AA -3.032543646679337e-15 0.1
AB -1.8089420413822107e-15 0.1
AB -2.2980889315312713e-17 0.22
AA -1.1870485448943161e-17 0.22
AA -1.900419669475865e-18 0.26
AB -5.478156916703671e-18 0.24
AA 1.3309162250158303e-17 0.24
AB -7.450137099312375e-18 0.28
AA -7.467354932300454e-18 0.28
AB -1.3634461177381616e-17 0.26
AA -4.7578486550521267e-17 0.2
AB -9.483266765597631e-17 0.2
AA -6.0902216705848695e-18 0.3
