Domain I Vapp
AA -1.7921905965735104e-13 -0.04
AA -1.44653223959963e-13 -0.02
AB -1.589322233986267e-13 -0.02
AB -2.174219099506119e-13 -0.06
AB -1.9419877783170596e-13 -0.04
AA -2.0541448860354782e-13 -0.06
AA -2.2242250967993294e-13 -0.08
AB -2.3259827785525067e-13 -0.08
AA -2.4065108726135775e-13 -0.12
AA -2.486677994839255e-13 -0.14
AB -2.5166066692304135e-13 -0.14
AB -2.477185520293942e-13 -0.12
AB -2.548478461939226e-13 -0.16
AA -2.560705352175879e-13 -0.18
AA -2.5283688763842874e-13 -0.16
AB -2.4145697450927887e-13 -0.1
AB -2.5642755604519197e-13 -0.18
AA -2.3477997633205126e-13 -0.1
AA -2.5849737480583e-13 -0.22
AA -2.6032889392480565e-13 -0.24
AB -2.5865263617936134e-13 -0.22
AB -2.605254274510499e-13 -0.24
AB -2.6117878527574244e-13 -0.26
AA -2.606851912484278e-13 -0.26
AA -2.6138244123651926e-13 -0.28
AA -2.580629129818116e-13 -0.2
AB -2.621085018027498e-13 -0.28
AB -2.55689426587179e-13 -0.2
AB -2.6204261134024563e-13 -0.32
AA -2.624158390955306e-13 -0.32
AA -2.6300482218257946e-13 -0.34
AB -2.625394375718627e-13 -0.34
AA -2.6313495369764233e-13 -0.36
AB -2.62748041941684e-13 -0.36
AB -2.621276090567515e-13 -0.38
AA -2.6233110899541315e-13 -0.38
AA -2.6207010349950877e-13 -0.3
AA -2.6312672469963563e-13 -0.42
AB -2.621201467744369e-13 -0.3
AB -2.6322434361066666e-13 -0.42
AA -2.6331137026625846e-13 -0.44
AB -2.6304331848132827e-13 -0.44
AA -2.6326969038272663e-13 -0.46
AB -2.631090716068169e-13 -0.46
AA -2.632345933580417e-13 -0.48
AB -2.633032136849074e-13 -0.48
AA -2.631371172767578e-13 -0.4
AB -2.6253181054456687e-13 -0.4
AB -2.6325359559601365e-13 -0.5
AA -2.629544319272937e-13 -0.5
AA -1.0038102994268706e-13 0.02
AB -4.1589113012074556e-14 0.04
AB -7.368772877358614e-14 0.02
AA -8.246222939278534e-14 0.04
AA -2.2011516982366536e-14 0.08
AA -4.301604009786452e-14 0.06
AB -1.3694505349778498e-14 0.06
AB -2.3286112364180875e-14 0.08
AA -1.0509366483761239e-13 0.0
AB -1.1606500750333062e-13 0.0
AB -5.611271155483651e-15 0.12
AA -5.830614575236156e-15 0.12
AA -2.608546569101282e-15 0.14
AB -1.9767674630620725e-15 0.14
AB -1.2294948992016123e-15 0.16
AA -1.0362697078804753e-15 0.16
AB -5.374795740909812e-16 0.18
AA -5.693878404232184e-16 0.18
AA -8.01915405856874e-15 0.1
AA -1.2092558577234041e-16 0.22
AB -8.831530896395151e-15 0.1
AB -1.0403996534536833e-16 0.22
AA -2.906196227522741e-17 0.26
AB -3.5757876996040107e-17 0.24
AA -4.389440090102882e-17 0.24
AA -2.6755831513711746e-17 0.28
AB -3.2110852383740866e-17 0.26
AB -1.2640859608533797e-17 0.28
AA -1.1443325552804315e-16 0.2
AB -2.4673427308834907e-16 0.2
AA -2.014678852747438e-17 0.3
