Domain I Vapp
AA -1.0501053825510584e-13 -0.04
AA -8.691858181573753e-14 -0.02
AB -2.987585426350101e-14 -0.02
AB -4.1836435749640823e-14 -0.04
AA -1.1694229340806027e-13 -0.06
AB -5.509704612987679e-14 -0.06
AA -1.2242810083490168e-13 -0.08
AA -1.2779530755719158e-13 -0.12
AB -6.879215218450836e-14 -0.08
AA -1.2921213432250514e-13 -0.14
AB -1.0237539937358075e-13 -0.14
AB -9.310458144910439e-14 -0.12
AA -1.295602261985678e-13 -0.16
AA -1.2939282470367313e-13 -0.18
AB -1.0973787552491875e-13 -0.16
AB -1.1547113470830518e-13 -0.18
AA -1.2614004134644882e-13 -0.1
AB -8.161713585791789e-14 -0.1
AA -1.3055947963647638e-13 -0.22
AA -1.306751069333866e-13 -0.24
AB -1.2304960373987768e-13 -0.22
AB -1.2674341554092783e-13 -0.26
AA -1.3088072631773348e-13 -0.26
AB -1.2507840393348077e-13 -0.24
AA -1.2999210762784078e-13 -0.28
AB -1.2797072109675506e-13 -0.28
AA -1.3005126926443537e-13 -0.2
AB -1.19583719075126e-13 -0.2
AB -1.2936044914947726e-13 -0.32
AA -1.3055308459698712e-13 -0.32
AA -1.3061544341381929e-13 -0.34
AB -1.2984270585580853e-13 -0.34
AA -1.3153176060196775e-13 -0.36
AB -1.3063585473790745e-13 -0.38
AB -1.3037529309104763e-13 -0.36
AA -1.3134199755760285e-13 -0.38
AB -1.291104069201253e-13 -0.3
AA -1.3113019590931352e-13 -0.3
AA -1.313295080407245e-13 -0.42
AB -1.3116955969216342e-13 -0.44
AA -1.3161636928771288e-13 -0.44
AB -1.3099520674778035e-13 -0.42
AA -1.3071237735494505e-13 -0.48
AA -1.3137089844613911e-13 -0.46
AB -1.3128825998386402e-13 -0.46
AB -1.3092160214929518e-13 -0.4
AA -1.3102563253222482e-13 -0.4
AB -1.3136731139311275e-13 -0.48
AB -1.3139661485017962e-13 -0.5
AA -1.3150180277415796e-13 -0.5
AA -4.03192973606838e-14 0.02
AB -1.3052391721323035e-14 0.02
AB -9.664272461116958e-15 0.04
AA -2.921069428099506e-14 0.04
AA -1.1592805325075975e-14 0.08
AB -6.259719733519967e-15 0.06
AA -1.1645551053616137e-14 0.06
AB -2.4111269785484107e-14 0.0
AB -3.723544629652472e-15 0.08
AA -6.353547831235664e-14 0.0
AA -2.2819483436077952e-15 0.12
AA -1.576549154951314e-16 0.14
AB -1.3620766645312664e-15 0.12
AA -5.452154102519983e-16 0.16
AB -4.2660871601159826e-17 0.16
AB -6.88040141763908e-16 0.14
AA -1.8456003914404056e-16 0.18
AB -3.549781212823359e-17 0.18
AA -4.834861214065786e-15 0.1
AB -6.202307918785634e-18 0.22
AA 4.006593039009232e-17 0.22
AB -1.675386849870704e-15 0.1
AA -2.1949424184032435e-17 0.24
AB -2.3264359086156394e-17 0.24
AA -1.1754794175389738e-17 0.26
AA -1.4432118435089462e-17 0.28
AB -1.1003104359649359e-17 0.28
AB -1.2457930101150759e-17 0.26
AB -1.0542119448967616e-16 0.2
AA -8.24346782341763e-18 0.3
AA -1.0005466512190442e-16 0.2
