Domain I Vapp
AA -3.111553412404684e-13 -0.02
AB -3.063492428611826e-13 -0.02
AA -3.780389680623805e-13 -0.04
AB -4.178261772315901e-13 -0.06
AA -4.211939815681966e-13 -0.06
AB -3.7280739308743884e-13 -0.04
AB -4.451335729689063e-13 -0.08
AA -4.476363479367563e-13 -0.08
AA -4.728815155371359e-13 -0.12
AB -4.718131211032882e-13 -0.12
AB -4.778197915370375e-13 -0.14
AA -4.785501637653853e-13 -0.14
AB -4.82313285770203e-13 -0.16
AA -4.831754985278167e-13 -0.16
AA -4.856975965116337e-13 -0.18
AA -4.631688811629499e-13 -0.1
AB -4.854437277858874e-13 -0.18
AB -4.617184990389123e-13 -0.1
AA -4.889584231446066e-13 -0.22
AB -4.892520448220389e-13 -0.22
AA -4.897798358176716e-13 -0.24
AB -4.912938634803989e-13 -0.26
AA -4.902639457395006e-13 -0.26
AB -4.904982124599256e-13 -0.24
AA -4.911655218794006e-13 -0.28
AA -4.875353757896603e-13 -0.2
AB -4.91972435836263e-13 -0.28
AB -4.877999355353126e-13 -0.2
AA -4.913333873199477e-13 -0.32
AB -4.927526028628577e-13 -0.32
AB -4.926330184932275e-13 -0.34
AA -4.923882007792814e-13 -0.34
AA -4.927373804304834e-13 -0.36
AB -4.929456721941392e-13 -0.36
AB -4.930342403950909e-13 -0.38
AA -4.927415472708936e-13 -0.38
AA -4.919257905939829e-13 -0.42
AA -4.919449150050971e-13 -0.3
AB -4.921820046439383e-13 -0.3
AA -4.935045143975686e-13 -0.44
AB -4.932030038994343e-13 -0.42
AB -4.933022619980471e-13 -0.44
AA -4.935889000558787e-13 -0.48
AA -4.932574505839866e-13 -0.46
AB -4.935923706995924e-13 -0.46
AB -4.931622097825597e-13 -0.4
AA -4.928244473341961e-13 -0.4
AB -4.933431099840759e-13 -0.48
AA -4.934383002731651e-13 -0.5
AB -4.927763960159194e-13 -0.5
AA -1.4421601070345013e-13 0.02
AB -1.4252185106745423e-13 0.02
AB -8.005517512360179e-14 0.04
AA -8.094422292042829e-14 0.04
AA -3.751166417355023e-14 0.08
AA -1.0140571242922121e-13 0.06
AB -1.053146298876123e-13 0.06
AB -2.2339572444515706e-13 0.0
AB -5.443431278295413e-14 0.08
AA -2.270430748999954e-13 0.0
AA 1.5479087833042516e-14 0.12
AA -3.907820172208565e-15 0.14
AB -1.0112854620920942e-14 0.12
AB -3.894654076214655e-15 0.14
AB -1.9146320386109983e-15 0.16
AA 2.276282722262702e-16 0.16
AB -3.8442705476291585e-16 0.18
AA -9.55632018074695e-15 0.1
AA -1.2103196532162878e-15 0.18
AB -1.770797724574731e-16 0.22
AA 4.0190928044118485e-16 0.22
AB -2.38165376587987e-14 0.1
AA -1.0838343464514926e-16 0.24
AA -5.871262616708684e-17 0.26
AB -1.5907070696545492e-16 0.24
AB -5.210191180913075e-17 0.26
AA -5.820268742539668e-18 0.28
AB -3.693322376580887e-17 0.28
AA -3.503500169485185e-16 0.2
AB -3.5080525948072456e-16 0.2
AA -3.483548932701018e-17 0.3
