Domain I Vapp
AA -9.093573767243437e-14 -0.02
AA -4.217173035911466e-14 0.02
AB -9.375330029500796e-14 -0.02
AA -1.120805935301138e-13 -0.04
AB -4.33009732698591e-14 0.02
AA -3.045542433686484e-14 0.04
AB -4.709079303117813e-14 0.04
AB -1.1534232830952378e-13 -0.04
AA -1.275272958230192e-13 -0.06
AB -2.3995989097887864e-14 0.06
AA -1.7943380471535937e-14 0.06
AB -1.3051072640455367e-13 -0.06
AA -1.4409233408710177e-14 0.08
AA -1.3767013414981796e-13 -0.08
AB -1.403400436000847e-13 -0.08
AB -6.800837600869775e-14 0.0
AB -1.0133190123210965e-14 0.08
AA -6.523887478662714e-14 0.0
AB -1.516882742481673e-13 -0.12
AA -1.5005137882264828e-13 -0.12
AA -2.1375410862144843e-15 0.12
AA -1.5355845954534594e-13 -0.14
AA -7.186692573265997e-16 0.14
AB -8.189049561658695e-16 0.12
AB -1.547417750304594e-13 -0.14
AB 1.371467953074131e-15 0.14
AA -1.5605256959251415e-13 -0.16
AA -5.92731737042384e-16 0.16
AB -1.5704861882396656e-13 -0.16
AB -1.8871838513567942e-16 0.16
AB -1.5832491173839976e-13 -0.18
AA -1.5837084532728948e-13 -0.18
AA -3.15489935504829e-16 0.18
AA -1.4490865155942002e-13 -0.1
AA -7.61979766049246e-15 0.1
AB 2.9568798540663516e-16 0.18
AB -3.8253358032064694e-15 0.1
AA -1.6095731733420798e-13 -0.22
AB -1.4686840704965055e-13 -0.1
AB -1.6142677695980287e-13 -0.22
AB -3.292345872674531e-17 0.22
AA -5.45774929548632e-17 0.22
AA -2.773597560098482e-17 0.24
AB -1.6107611642146965e-13 -0.24
AA -1.6206893622437693e-13 -0.24
AA -1.624285907463297e-17 0.26
AB -2.326917519539065e-17 0.24
AA -1.6188162836913096e-13 -0.26
AB -1.6263727039040484e-13 -0.26
AA -1.6287325257730852e-13 -0.28
AB -2.244932032441799e-17 0.26
AB -1.615056690869262e-13 -0.28
AB -9.727586508758066e-18 0.28
AA -1.6930024501545766e-17 0.28
AA -1.6006701570552888e-13 -0.2
AB -1.60259908929343e-13 -0.2
AA -1.546002744780476e-16 0.2
AB 2.163148151621141e-17 0.2
AA -1.6370598529828742e-13 -0.32
AB -1.6367847025378642e-13 -0.32
AB -1.6390964173111847e-13 -0.34
AA -1.6367464233224896e-13 -0.36
AA -1.638394191562265e-13 -0.34
AA -1.643343059088802e-13 -0.38
AB -1.6364419697128553e-13 -0.36
AB -1.6444821614248564e-13 -0.38
AA -1.632215323184029e-13 -0.3
AB -1.6336923736877366e-13 -0.3
AA -5.922952244219169e-18 0.3
AB -1.1810585037782891e-17 0.3
AA -1.643413533749776e-13 -0.42
AB -1.6433428208491843e-13 -0.42
AA -1.6441259328180493e-13 -0.44
AB -1.6438325107117684e-13 -0.44
AA -1.6442270447533995e-13 -0.46
AB -1.640707963284404e-13 -0.46
AA -1.6445244415311824e-13 -0.48
AB -1.6394955039352284e-13 -0.48
AB -1.6447530777276016e-13 -0.4
AA -1.644875505571851e-13 -0.5
AA -1.6428027964729e-13 -0.4
AB -1.64681375473045e-13 -0.5
